    时间	    开度值	      蜗壳压力	      尾水管压力	    流量	      转速	      出力	  单位转速	  单位流量	  单位力矩	球阀前压力	球阀后压力	蜗壳进口压力	尾水管出口压力
   0.000	   0.732	       513.722	        52.228	    74.634	   428.600	   306.160	    84.775	     0.199	    20.815	452.023297	451.516968	513.721800	2324.567598
   0.200	   0.732	       524.321	        51.948	    74.446	   436.926	   307.139	    86.055	     0.198	    20.311	453.713964	453.713964	523.643550	2324.498927
   0.400	   0.726	       527.340	        50.122	    73.986	   445.130	   307.452	    87.187	     0.196	    19.737	456.626989	456.626989	526.518297	2323.029386
   0.600	   0.721	       529.676	        48.817	    73.426	   453.175	   306.454	    88.389	     0.193	    19.161	458.902622	458.902622	528.802010	2321.025355
   0.800	   0.716	       531.387	        46.896	    72.902	   461.058	   305.654	    89.553	     0.191	    18.628	460.712168	460.712168	530.595982	2319.067057
   1.000	   0.711	       534.453	        46.747	    72.432	   468.789	   305.446	    90.722	     0.189	    18.175	463.142225	463.142225	533.108677	2318.491495
   1.200	   0.706	       537.201	        47.818	    71.804	   476.371	   303.415	    91.997	     0.187	    17.693	466.170912	466.170912	536.238298	2319.399761
   1.400	   0.701	       540.920	        49.669	    71.213	   483.796	   301.717	    93.221	     0.185	    17.246	469.780559	469.780559	539.632820	2321.006730
   1.600	   0.696	       543.883	        51.087	    70.460	   491.038	   297.693	    94.429	     0.183	    16.699	472.620770	472.620770	542.729724	2321.654482
   1.800	   0.691	       546.301	        50.626	    69.789	   498.091	   294.275	    95.468	     0.181	    16.166	475.775928	475.775928	545.818184	2322.032862
   2.000	   0.686	       548.756	        49.666	    68.972	   504.932	   288.737	    96.401	     0.178	    15.525	477.198479	477.198479	547.337713	2320.103486
   2.200	   0.681	       550.941	        47.289	    68.128	   511.554	   282.627	    97.171	     0.175	    14.848	479.423851	479.423851	549.549630	2317.396132
   2.400	   0.676	       554.403	        45.898	    67.197	   517.940	   275.171	    97.860	     0.171	    14.126	482.339163	482.339163	552.720353	2315.802732
   2.600	   0.671	       557.731	        42.372	    66.033	   524.071	   264.858	    98.290	     0.167	    13.241	483.750325	483.750325	555.580358	2313.825239
   2.800	   0.666	       564.714	        42.841	    64.431	   529.819	   249.397	    98.665	     0.162	    12.159	490.983998	490.983998	561.969875	2312.196233
   3.000	   0.661	       569.593	        41.532	    62.494	   535.130	   230.314	    98.978	     0.156	    10.967	495.091005	495.091005	566.469848	2310.348556
   3.200	   0.656	       572.520	        39.875	    60.552	   539.968	   211.647	    99.359	     0.150	     9.885	498.401377	498.401377	569.542692	2307.587301
