 机组号	 蜗壳最大压力	   时间	 尾水管最小压力	   时间	  最大转速升高率	   时间	 尾水管最大压力	   时间
  J 10	        625.77	     8.97	          23.87	   17.46	          33.40	     6.27	         100.26	   12.87
  J 18	        628.21	    27.81	           7.38	   13.96	          34.80	    12.84	         117.53	   18.66
 调压室号	   最高涌浪	   时间	       最低涌浪	   时间	   向下最大压差	    时间	   向上最大压差	    时间
  J  2	       2808.65	    39.26	        2806.91	    1.22	           0.00	    59.30	           0.00	    16.79
  J  3	       2831.14	    42.32	        2805.27	    1.31	           0.52	    57.09	           0.89	    19.11
  J 12	       2355.70	    57.92	        2332.95	   22.43	           0.81	     9.65	           0.45	    38.63
  J 13	       2349.47	    52.30	        2339.53	   19.76	           0.05	    14.02	           0.05	    44.30
  J 20	       2353.72	    60.01	        2333.59	   33.75	           1.27	    14.97	           0.42	    44.64
  J 21	       2349.78	    58.15	        2339.40	   26.45	           0.07	    20.52	           0.10	    51.50
   球阀号	上游侧最大压力值	   时间	下游侧最大压力值	   时间	上游侧最小压力值	   时间	下游侧最小压力值	   时间
  J  8	        552.60	    27.80	         552.60	    27.80	        395.35	    20.12	        395.35	    20.12
  J 16	        556.31	    27.75	         556.31	    27.75	        406.51	    19.98	        406.51	    19.98
