  管道号	    流量	始端压力	末端压力
  L  1	 149.2683	 462.0000	 461.9207
  L  2	 149.2683	 461.9207	 460.2794
  L  3	 149.2683	 460.2794	 460.2323
  L  4	 149.2683	 460.2323	 459.3578
  L  5	 149.2683	 459.3578	 456.0576
  L  6	  74.6343	 456.0576	 453.3709
  L  7	  74.6343	 453.3709	 452.0233
  L  8	  74.6343	 452.0233	 451.5170
  L  9	  74.6343	 451.5170	 451.5169
  L 10	  74.6343	   0.9400	   0.9400
  L 11	  74.6343	   0.9400	   0.6430
  L 12	  74.6343	   0.6430	   0.2828
  L 13	  74.6343	   0.2828	   0.0000
  L 14	  74.6343	 456.0576	 453.3709
  L 15	  74.6343	 453.3709	 452.0233
  L 16	  74.6343	 452.0233	 451.5170
  L 17	  74.6343	 451.5170	 451.5169
  L 18	  74.6343	   0.9400	   0.9400
  L 19	  74.6343	   0.9400	   0.6430
  L 20	  74.6343	   0.6430	   0.2828
  L 21	  74.6343	   0.2828	   0.0000
