  1	  2	  3	  4	  5	 14	 15	 16	 17	 18	 19	 20	 21	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
    0.00	     2807.00	     2807.00
   10.77	     2807.35	     2806.73
   21.55	     2807.46	     2806.72
   32.32	     2807.57	     2806.71
   43.10	     2807.68	     2806.70
   53.87	     2807.79	     2806.70
   64.65	     2807.90	     2806.69
   75.42	     2808.00	     2806.68
   86.20	     2808.10	     2806.68
   96.97	     2808.20	     2806.67
  107.75	     2808.29	     2806.67
  118.53	     2808.39	     2806.66
  129.30	     2808.49	     2806.65
  140.08	     2808.34	     2806.91
  151.08	     2809.00	     2806.22
  162.09	     2809.15	     2806.21
  173.09	     2809.27	     2806.20
  184.10	     2809.39	     2806.18
  195.11	     2809.51	     2806.17
  206.11	     2809.64	     2806.15
  217.12	     2809.76	     2806.13
  228.13	     2809.88	     2806.12
  239.13	     2810.00	     2806.10
  250.14	     2810.12	     2806.08
  261.15	     2810.24	     2806.07
  272.15	     2810.36	     2806.05
  283.16	     2810.48	     2806.04
  294.17	     2810.61	     2806.02
  305.17	     2810.73	     2806.00
  316.18	     2810.85	     2805.99
  327.19	     2810.97	     2805.97
  338.19	     2811.09	     2805.96
  349.20	     2811.23	     2805.94
  360.21	     2811.36	     2805.92
  371.21	     2811.50	     2805.91
  382.22	     2811.63	     2805.89
  393.23	     2811.77	     2805.87
  404.23	     2811.90	     2805.86
  415.24	     2812.03	     2805.84
  426.25	     2812.16	     2805.83
  437.25	     2812.30	     2805.81
  448.26	     2812.43	     2805.79
  459.27	     2812.57	     2805.78
  470.27	     2812.71	     2805.76
  481.28	     2812.85	     2805.74
  492.29	     2812.99	     2805.73
  503.29	     2813.12	     2805.71
  514.30	     2813.27	     2805.70
  525.31	     2813.41	     2805.68
  536.31	     2813.55	     2805.66
  547.32	     2813.69	     2805.65
  558.33	     2813.83	     2805.63
  569.33	     2813.97	     2805.61
  580.34	     2814.11	     2805.60
  591.34	     2814.24	     2805.58
  602.35	     2814.38	     2805.56
  613.36	     2814.53	     2805.55
  624.36	     2814.67	     2805.53
  635.37	     2814.82	     2805.52
  646.38	     2814.95	     2805.50
  657.38	     2815.09	     2805.48
  668.39	     2815.22	     2805.47
  679.40	     2815.36	     2805.45
  690.40	     2815.51	     2805.43
  701.41	     2815.65	     2805.42
  712.42	     2815.79	     2805.40
  723.42	     2815.94	     2805.38
  734.43	     2816.08	     2805.37
  745.44	     2816.21	     2805.35
  756.44	     2816.35	     2805.33
  767.45	     2816.49	     2805.32
  778.46	     2816.63	     2805.30
  789.46	     2816.77	     2805.28
  800.47	     2816.92	     2805.27
  811.48	     2817.06	     2805.38
  822.48	     2817.19	     2805.39
  833.49	     2817.32	     2805.38
  844.50	     2817.46	     2805.36
  855.50	     2817.60	     2805.35
  866.51	     2817.73	     2805.34
  877.52	     2817.86	     2805.32
  888.52	     2818.00	     2805.31
  899.53	     2818.13	     2805.30
  910.54	     2818.26	     2805.28
  921.54	     2818.40	     2805.27
  932.55	     2818.53	     2805.26
  943.56	     2818.67	     2805.25
  954.56	     2818.80	     2805.23
  965.57	     2818.93	     2805.22
  976.58	     2819.06	     2805.21
  987.58	     2819.20	     2805.19
  998.59	     2819.33	     2805.18
 1009.59	     2819.47	     2805.17
 1020.60	     2819.61	     2805.16
 1031.61	     2819.76	     2805.14
 1042.61	     2819.90	     2805.13
 1053.62	     2820.05	     2805.12
 1064.63	     2820.20	     2805.10
 1075.63	     2820.35	     2805.09
 1086.64	     2820.49	     2805.08
 1097.65	     2820.63	     2805.07
 1108.65	     2820.77	     2805.05
 1119.66	     2820.92	     2805.04
 1130.67	     2821.07	     2805.03
 1141.67	     2821.21	     2805.01
 1152.68	     2821.35	     2805.00
 1163.69	     2821.50	     2804.99
 1174.69	     2821.65	     2804.97
 1185.70	     2821.79	     2804.96
 1196.71	     2821.94	     2804.95
 1207.71	     2822.08	     2804.93
 1218.72	     2822.23	     2804.92
 1229.73	     2822.38	     2804.91
 1240.73	     2822.53	     2804.89
 1251.74	     2822.67	     2804.88
 1262.75	     2822.81	     2804.87
 1273.75	     2822.96	     2804.85
 1284.76	     2823.10	     2804.84
 1295.77	     2823.25	     2804.82
 1306.77	     2823.40	     2804.81
 1317.78	     2823.55	     2804.80
 1328.79	     2823.70	     2804.78
 1339.79	     2823.84	     2804.77
 1350.80	     2823.99	     2804.76
 1361.81	     2824.14	     2804.74
 1372.81	     2824.29	     2804.73
 1383.82	     2824.44	     2804.72
 1394.83	     2824.59	     2804.70
 1405.83	     2824.73	     2804.69
 1416.84	     2824.88	     2804.68
 1427.85	     2825.03	     2804.66
 1438.85	     2825.17	     2804.65
 1449.86	     2825.31	     2804.64
 1460.86	     2825.46	     2804.62
 1471.87	     2825.61	     2804.61
 1482.88	     2825.76	     2805.27
 1493.54	     2826.15	     2803.94
 1504.21	     2826.51	     2803.73
 1514.88	     2826.82	     2803.29
 1526.03	     2827.14	     2802.74
 1537.17	     2827.39	     2802.67
 1548.32	     2827.74	     2802.63
 1559.47	     2828.13	     2802.60
 1570.61	     2828.47	     2802.58
 1581.76	     2828.90	     2802.56
 1592.91	     2829.20	     2802.54
 1604.06	     2829.57	     2802.52
 1615.20	     2829.95	     2802.49
 1626.35	     2830.21	     2802.47
 1637.50	     2830.64	     2802.44
 1648.65	     2831.06	     2802.42
 1659.79	     2831.32	     2802.39
 1670.94	     2831.63	     2802.37
 1682.09	     2831.99	     2802.34
 1693.24	     2832.52	     2802.32
 1704.38	     2833.68	     2802.30
 1715.53	     2834.76	     2802.27
 1726.68	     2835.65	     2802.22
 1737.82	     2836.68	     2802.19
 1748.97	     2837.85	     2802.18
 1760.12	     2838.88	     2802.15
 1771.27	     2839.83	     2802.26
 1782.41	     2840.89	     2802.26
 1793.56	     2841.96	     2802.06
 1804.71	     2842.80	     2801.50
 1815.86	     2843.37	     2800.95
 1827.00	     2844.45	     2800.30
 1838.15	     2845.50	     2799.62
 1849.30	     2846.47	     2798.84
 1860.45	     2847.55	     2798.14
 1871.59	     2848.48	     2797.31
 1882.74	     2849.52	     2796.68
 1893.89	     2850.59	     2796.19
 1905.04	     2851.43	     2795.43
 1916.02	     2852.39	     2794.24
 1927.01	     2853.98	     2793.34
 1938.00	     2855.41	     2792.45
 1948.99	     2856.69	     2791.42
 1959.98	     2858.06	     2790.45
 1970.97	     2859.45	     2789.45
 1981.96	     2860.37	     2788.55
 1992.95	     2861.50	     2787.63
 2003.94	     2862.67	     2786.57
 2014.93	     2863.65	     2785.42
 2025.92	     2864.78	     2784.60
 2036.91	     2866.37	     2783.62
 2047.90	     2867.42	     2782.60
 2058.89	     2868.80	     2781.64
 2069.88	     2870.04	     2780.65
 2080.87	     2871.20	     2779.44
 2091.86	     2872.48	     2778.29
 2102.85	     2873.54	     2777.46
 2113.84	     2874.53	     2776.49
 2124.83	     2875.76	     2775.54
 2135.82	     2877.00	     2774.76
 2146.81	     2878.16	     2773.68
 2157.80	     2879.38	     2772.65
 2168.79	     2880.44	     2771.83
 2179.78	     2881.43	     2770.63
 2190.77	     2882.53	     2769.82
 2201.76	     2883.71	     2768.89
 2212.75	     2884.77	     2767.88
 2223.74	     2885.76	     2767.11
 2234.73	     2886.94	     2766.02
 2245.72	     2888.00	     2764.99
 2256.71	     2889.05	     2764.21
 2267.70	     2889.87	     2763.32
 2278.69	     2890.95	     2762.48
 2289.68	     2891.98	     2761.53
 2300.67	     2893.16	     2760.61
 2311.66	     2894.58	     2759.72
 2322.65	     2895.57	     2758.75
 2333.64	     2896.57	     2757.75
 2344.63	     2897.80	     2757.01
 2355.62	     2898.91	     2756.15
 2366.61	     2899.85	     2755.28
 2377.59	     2900.80	     2754.38
 2388.58	     2902.14	     2753.71
 2399.57	     2903.23	     2753.04
 2410.56	     2904.08	     2752.17
 2421.55	     2905.02	     2751.53
 2432.54	     2906.14	     2750.67
 2443.53	     2907.32	     2749.47
 2454.52	     2908.36	     2748.85
 2465.51	     2909.27	     2748.09
 2476.50	     2910.30	     2747.03
 2487.49	     2911.29	     2746.17
 2498.48	     2912.21	     2745.05
 2509.47	     2913.65	     2743.97
 2520.46	     2914.81	     2743.10
 2531.45	     2915.58	     2742.13
 2542.44	     2916.54	     2741.22
 2553.43	     2917.58	     2740.42
 2564.42	     2918.82	     2739.33
 2575.41	     2919.94	     2738.30
 2586.40	     2920.86	     2737.55
 2597.39	     2921.88	     2736.66
 2608.38	     2922.66	     2735.79
 2619.37	     2923.23	     2734.85
 2630.36	     2924.27	     2733.91
 2641.35	     2925.33	     2732.95
