    时间	    开度值	      蜗壳压力	      尾水管压力	    流量	      转速	      出力	  单位转速	  单位流量	  单位力矩	球阀前压力	球阀后压力	蜗壳进口压力	尾水管出口压力
   0.000	   0.732	       513.722	        52.228	    74.634	   428.600	   306.160	    84.775	     0.199	    20.815	452.023297	451.516968	513.721800	2324.567598
   0.010	   0.732	       517.433	        50.577	    74.405	   429.019	   303.965	    85.013	     0.199	    20.722	438.163629	438.163629	510.549611	2324.941163
   0.020	   0.732	       517.568	        50.516	    74.396	   429.436	   304.028	    85.077	     0.199	    20.697	446.508308	446.508308	510.556266	2324.941176
   0.030	   0.732	       514.837	        49.577	    74.162	   429.851	   301.789	    85.319	     0.199	    20.601	446.695436	446.695436	519.924925	2323.688460
   0.040	   0.732	       515.064	        49.561	    74.159	   430.264	   301.904	    85.378	     0.199	    20.578	451.925186	451.925186	520.114065	2323.651243
   0.050	   0.732	       521.591	        52.939	    74.486	   430.680	   305.389	    85.176	     0.199	    20.658	452.475638	452.475638	522.334608	2322.640066
   0.060	   0.732	       521.557	        52.823	    74.465	   431.097	   305.317	    85.250	     0.199	    20.629	452.017961	452.017961	522.699374	2322.633352
   0.070	   0.732	       523.857	        54.192	    74.539	   431.514	   306.232	    85.248	     0.199	    20.630	453.086867	453.086867	522.186439	2324.780654
   0.080	   0.732	       524.177	        54.220	    74.542	   431.932	   306.404	    85.303	     0.199	    20.608	453.336284	453.336284	523.348626	2324.662695
   0.090	   0.732	       522.271	        52.270	    74.516	   432.349	   306.287	    85.380	     0.199	    20.578	453.790537	453.790537	523.538703	2325.366885
   0.100	   0.732	       523.497	        52.744	    74.570	   432.767	   306.992	    85.394	     0.199	    20.572	454.210203	454.210203	523.950598	2325.378749
   0.110	   0.732	       522.961	        52.063	    74.556	   433.184	   306.992	    85.462	     0.199	    20.545	454.422036	454.422036	523.179203	2324.610368
   0.120	   0.732	       523.367	        52.116	    74.565	   433.601	   307.233	    85.511	     0.198	    20.526	453.568064	453.568064	523.376654	2324.941398
   0.130	   0.732	       523.763	        52.520	    74.534	   434.018	   307.051	    85.593	     0.198	    20.494	453.667638	453.667638	523.040869	2324.655628
   0.140	   0.732	       523.813	        52.273	    74.536	   434.435	   307.226	    85.647	     0.198	    20.472	453.694416	453.694416	523.132888	2324.702843
   0.150	   0.732	       523.869	        52.306	    74.508	   434.851	   307.081	    85.726	     0.198	    20.441	453.771303	453.771303	523.736237	2324.754964
   0.160	   0.732	       523.961	        52.205	    74.500	   435.266	   307.133	    85.789	     0.198	    20.417	454.080531	454.080531	523.710534	2324.675093
   0.170	   0.732	       524.238	        52.184	    74.503	   435.682	   307.307	    85.843	     0.198	    20.395	453.944672	453.944672	523.824648	2324.606333
   0.180	   0.732	       524.363	        52.155	    74.490	   436.097	   307.313	    85.910	     0.198	    20.369	453.901624	453.901624	523.774523	2324.545562
   0.190	   0.732	       524.395	        52.077	    74.471	   436.512	   307.259	    85.980	     0.198	    20.341	454.050866	454.050866	523.599880	2324.547405
   0.200	   0.732	       524.387	        51.978	    74.450	   436.926	   307.183	    86.052	     0.198	    20.312	453.930849	453.930849	523.808004	2324.498927
   0.210	   0.731	       524.322	        51.747	    74.418	   437.339	   307.115	    86.116	     0.198	    20.280	454.102325	454.102325	523.734585	2324.417287
   0.220	   0.731	       524.615	        51.700	    74.406	   437.753	   307.253	    86.165	     0.198	    20.255	454.120314	454.120314	523.909890	2324.322285
   0.230	   0.731	       524.627	        51.541	    74.374	   438.166	   307.188	    86.229	     0.198	    20.223	454.256072	454.256072	523.982356	2324.147938
   0.240	   0.730	       524.908	        51.510	    74.359	   438.578	   307.292	    86.280	     0.197	    20.197	454.541185	454.541185	524.195270	2324.097539
   0.250	   0.730	       525.049	        51.452	    74.331	   438.991	   307.260	    86.341	     0.197	    20.166	454.778148	454.778148	524.527815	2323.950417
   0.260	   0.730	       525.267	        51.373	    74.314	   439.403	   307.344	    86.393	     0.197	    20.140	455.126306	455.126306	524.783690	2323.896205
   0.270	   0.730	       525.628	        51.401	    74.301	   439.814	   307.469	    86.442	     0.197	    20.114	455.374244	455.374244	525.171233	2323.794735
   0.280	   0.729	       525.865	        51.332	    74.285	   440.226	   307.562	    86.493	     0.197	    20.087	455.637591	455.637591	525.400375	2323.718239
   0.290	   0.729	       526.224	        51.339	    74.275	   440.637	   307.710	    86.540	     0.197	    20.063	455.843340	455.843340	525.646608	2323.691410
   0.300	   0.729	       526.460	        51.280	    74.258	   441.048	   307.788	    86.592	     0.197	    20.036	456.050588	456.050588	525.850893	2323.621018
   0.310	   0.729	       526.657	        51.180	    74.241	   441.459	   307.868	    86.644	     0.197	    20.009	456.260969	456.260969	526.039088	2323.593183
   0.320	   0.728	       526.866	        51.106	    74.222	   441.869	   307.932	    86.697	     0.197	    19.982	456.463202	456.463202	526.258015	2323.522561
   0.330	   0.728	       527.024	        50.990	    74.203	   442.280	   307.984	    86.750	     0.196	    19.954	456.677729	456.677729	526.432963	2323.438726
   0.340	   0.728	       527.241	        50.919	    74.185	   442.689	   308.050	    86.803	     0.196	    19.927	456.834822	456.834822	526.644549	2323.359700
   0.350	   0.728	       527.438	        50.846	    74.165	   443.099	   308.096	    86.857	     0.196	    19.900	457.037229	457.037229	526.799813	2323.262581
   0.360	   0.727	       527.654	        50.779	    74.147	   443.508	   308.156	    86.909	     0.196	    19.873	457.209138	457.209138	527.003193	2323.186285
