 机组号	 蜗壳最大压力	   时间	 尾水管最小压力	   时间	  最大转速升高率	   时间	 尾水管最大压力	   时间
  J 10	        677.84	    10.05	          39.70	    9.23	          38.83	     6.95	          75.02	   16.65
  J 18	        677.84	    10.05	          39.70	    9.23	          38.83	     6.95	          75.03	   16.65
 调压室号	   最高涌浪	   时间	       最低涌浪	   时间	   向下最大压差	    时间	   向上最大压差	    时间
  J  2	       2808.34	    19.53	        2806.91	    1.22	           0.00	    23.16	           0.00	    14.45
  J  3	       2825.51	    25.00	        2805.27	    1.31	           0.00	     1.27	           1.79	    11.76
  J 12	       2345.64	     0.01	        2332.74	   18.55	           0.78	    12.26	           0.04	    21.45
  J 13	       2345.28	     0.01	        2338.49	   21.39	           0.06	    15.24	           0.05	    25.00
  J 20	       2345.64	     0.01	        2332.74	   18.55	           0.78	    12.26	           0.04	    21.45
  J 21	       2345.28	     0.01	        2338.49	   21.39	           0.06	    15.24	           0.05	    25.00
   球阀号	上游侧最大压力值	   时间	下游侧最大压力值	   时间	上游侧最小压力值	   时间	下游侧最小压力值	   时间
  J  8	        603.53	    10.08	         603.53	    10.08	        366.65	    17.99	        366.65	    17.99
  J 16	        603.53	    10.08	         603.53	    10.08	        366.65	    17.99	        366.65	    17.99
