 机组号	 蜗壳最大压力	   时间	 尾水管最小压力	   时间	  最大转速升高率	   时间	 尾水管最大压力	   时间
  J 10	        640.82	    10.05	          53.68	    9.46	          38.86	     7.35	          97.67	   39.21
  J 18	        629.13	     7.97	          52.14	   12.48	          42.43	     7.73	         110.37	   19.14
 调压室号	   最高涌浪	   时间	       最低涌浪	   时间	   向下最大压差	    时间	   向上最大压差	    时间
  J  2	       2795.01	    38.75	        2793.40	    1.22	           0.00	    24.98	           0.00	    16.01
  J  3	       2813.75	    40.59	        2791.45	    1.31	           0.14	    50.01	           1.47	    14.16
  J 12	       2366.68	    50.01	        2347.93	   21.24	           0.91	    11.88	           0.40	    40.85
  J 13	       2363.32	    50.01	        2353.84	   21.73	           0.06	    15.24	           0.08	    48.77
  J 20	       2366.41	    50.00	        2348.30	   19.53	           0.76	    15.09	           0.37	    25.19
  J 21	       2363.38	    35.59	        2354.14	   22.96	           0.07	    40.52	           0.14	    29.29
   球阀号	上游侧最大压力值	   时间	下游侧最大压力值	   时间	上游侧最小压力值	   时间	下游侧最小压力值	   时间
  J  8	        549.84	    10.08	         549.84	    10.08	        348.42	    19.34	        348.42	    19.34
  J 16	        541.63	     7.87	         541.10	     7.87	        326.52	    19.62	        318.52	    20.00
