  1	  2	  3	  4	  5	  6	  7	  8	  9	 10	 11	 12	 13	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
    0.00	     2807.00	     2807.00
   10.77	     2807.37	     2806.73
   21.55	     2807.51	     2806.72
   32.32	     2807.65	     2806.71
   43.10	     2807.80	     2806.70
   53.87	     2807.94	     2806.70
   64.65	     2808.08	     2806.69
   75.42	     2808.22	     2806.68
   86.20	     2808.34	     2806.68
   96.97	     2808.45	     2806.67
  107.75	     2808.57	     2806.67
  118.53	     2808.69	     2806.66
  129.30	     2808.81	     2806.65
  140.08	     2808.71	     2806.91
  151.08	     2809.40	     2806.22
  162.09	     2809.60	     2806.21
  173.09	     2809.78	     2806.20
  184.10	     2809.96	     2806.18
  195.11	     2810.14	     2806.17
  206.11	     2810.33	     2806.15
  217.12	     2810.51	     2806.13
  228.13	     2810.70	     2806.12
  239.13	     2810.88	     2806.10
  250.14	     2811.06	     2806.08
  261.15	     2811.25	     2806.07
  272.15	     2811.43	     2806.05
  283.16	     2811.62	     2806.04
  294.17	     2811.80	     2806.02
  305.17	     2811.99	     2806.00
  316.18	     2812.17	     2805.99
  327.19	     2812.35	     2805.97
  338.19	     2812.54	     2805.96
  349.20	     2812.72	     2805.94
  360.21	     2812.91	     2805.92
  371.21	     2813.09	     2805.91
  382.22	     2813.28	     2805.89
  393.23	     2813.46	     2805.87
  404.23	     2813.65	     2805.86
  415.24	     2813.83	     2805.84
  426.25	     2814.02	     2805.83
  437.25	     2814.21	     2805.81
  448.26	     2814.40	     2805.79
  459.27	     2814.58	     2805.78
  470.27	     2814.77	     2805.76
  481.28	     2814.95	     2805.74
  492.29	     2815.13	     2805.73
  503.29	     2815.32	     2805.71
  514.30	     2815.51	     2805.70
  525.31	     2815.69	     2805.68
  536.31	     2815.88	     2805.66
  547.32	     2816.06	     2805.65
  558.33	     2816.24	     2805.63
  569.33	     2816.42	     2805.61
  580.34	     2816.61	     2805.60
  591.34	     2816.80	     2805.58
  602.35	     2816.98	     2805.56
  613.36	     2817.16	     2805.55
  624.36	     2817.34	     2805.53
  635.37	     2817.52	     2805.52
  646.38	     2817.70	     2805.50
  657.38	     2817.88	     2805.48
  668.39	     2818.07	     2805.47
  679.40	     2818.25	     2805.45
  690.40	     2818.43	     2805.43
  701.41	     2818.60	     2805.42
  712.42	     2818.78	     2805.40
  723.42	     2818.96	     2805.38
  734.43	     2819.14	     2805.37
  745.44	     2819.32	     2805.35
  756.44	     2819.49	     2805.33
  767.45	     2819.67	     2805.32
  778.46	     2819.85	     2805.30
  789.46	     2820.03	     2805.28
  800.47	     2820.21	     2805.27
  811.48	     2820.44	     2805.38
  822.48	     2820.70	     2805.39
  833.49	     2820.88	     2805.38
  844.50	     2821.06	     2805.36
  855.50	     2821.24	     2805.35
  866.51	     2821.41	     2805.34
  877.52	     2821.58	     2805.32
  888.52	     2821.76	     2805.31
  899.53	     2821.93	     2805.30
  910.54	     2822.11	     2805.28
  921.54	     2822.28	     2805.27
  932.55	     2822.45	     2805.26
  943.56	     2822.62	     2805.24
  954.56	     2822.79	     2805.23
  965.57	     2822.96	     2805.22
  976.58	     2823.13	     2805.21
  987.58	     2823.31	     2805.19
  998.59	     2823.48	     2805.18
 1009.59	     2823.65	     2805.17
 1020.60	     2823.82	     2805.15
 1031.61	     2824.00	     2805.14
 1042.61	     2824.17	     2805.13
 1053.62	     2824.35	     2805.11
 1064.63	     2824.53	     2805.10
 1075.63	     2824.70	     2805.09
 1086.64	     2824.88	     2805.08
 1097.65	     2825.05	     2805.06
 1108.65	     2825.23	     2805.05
 1119.66	     2825.41	     2805.04
 1130.67	     2825.59	     2805.02
 1141.67	     2825.76	     2805.01
 1152.68	     2825.94	     2805.00
 1163.69	     2826.12	     2804.99
 1174.69	     2826.29	     2804.97
 1185.70	     2826.47	     2804.96
 1196.71	     2826.64	     2804.95
 1207.71	     2826.82	     2804.93
 1218.72	     2827.00	     2804.92
 1229.73	     2827.18	     2804.91
 1240.73	     2827.36	     2804.89
 1251.74	     2827.53	     2804.88
 1262.75	     2827.70	     2804.87
 1273.75	     2827.88	     2804.85
 1284.76	     2828.06	     2804.84
 1295.77	     2828.24	     2804.82
 1306.77	     2828.41	     2804.81
 1317.78	     2828.58	     2804.80
 1328.79	     2828.76	     2804.78
 1339.79	     2828.93	     2804.77
 1350.80	     2829.11	     2804.76
 1361.81	     2829.29	     2804.74
 1372.81	     2829.46	     2804.73
 1383.82	     2829.63	     2804.72
 1394.83	     2829.81	     2804.70
 1405.83	     2829.97	     2804.69
 1416.84	     2830.15	     2804.68
 1427.85	     2830.33	     2804.66
 1438.85	     2830.50	     2804.65
 1449.86	     2830.67	     2804.64
 1460.86	     2830.85	     2804.62
 1471.87	     2831.02	     2804.61
 1482.88	     2830.50	     2805.27
 1493.54	     2831.24	     2803.94
 1504.21	     2831.90	     2803.73
 1514.88	     2832.60	     2803.29
 1526.03	     2833.38	     2802.74
 1537.17	     2834.12	     2802.67
 1548.32	     2834.78	     2802.63
 1559.47	     2835.46	     2802.60
 1570.61	     2836.13	     2802.58
 1581.76	     2836.84	     2802.56
 1592.91	     2837.56	     2802.54
 1604.06	     2838.26	     2802.52
 1615.20	     2838.94	     2802.49
 1626.35	     2839.56	     2802.47
 1637.50	     2840.13	     2802.44
 1648.65	     2840.62	     2802.42
 1659.79	     2841.23	     2802.39
 1670.94	     2841.81	     2802.37
 1682.09	     2842.34	     2802.34
 1693.24	     2842.85	     2801.50
 1704.38	     2843.45	     2800.48
 1715.53	     2844.00	     2799.70
 1726.68	     2844.47	     2799.04
 1737.82	     2844.88	     2798.24
 1748.97	     2845.48	     2797.53
 1760.12	     2845.93	     2796.75
 1771.27	     2846.40	     2795.76
 1782.41	     2846.97	     2794.72
 1793.56	     2847.46	     2794.03
 1804.71	     2847.99	     2793.24
 1815.86	     2848.40	     2792.68
 1827.00	     2848.92	     2791.98
