    时间	    开度值	      蜗壳压力	      尾水管压力	    流量	      转速	      出力	  单位转速	  单位流量	  单位力矩	球阀前压力	球阀后压力	蜗壳进口压力	尾水管出口压力
   0.000	   0.732	       513.722	        52.228	    74.634	   428.600	   306.160	    84.775	     0.199	    20.815	452.023297	451.516968	513.721800	2324.567598
   0.200	   0.732	       524.387	        51.978	    74.450	   436.926	   307.183	    86.052	     0.198	    20.312	453.930912	453.930680	523.807841	2324.498880
   0.400	   0.732	       526.579	        51.017	    74.188	   445.124	   307.096	    87.353	     0.197	    19.790	456.598177	456.597789	526.248723	2323.799805
   0.600	   0.732	       529.788	        50.976	    73.955	   453.172	   307.031	    88.608	     0.195	    19.293	459.817742	459.816956	529.459505	2323.156778
   0.800	   0.732	       532.498	        50.297	    73.768	   461.085	   307.302	    89.817	     0.194	    18.836	462.570526	462.568963	532.207396	2322.627716
   1.000	   0.732	       536.970	        51.314	    73.609	   468.863	   307.651	    90.987	     0.193	    18.405	466.354149	466.352392	536.096870	2323.324495
   1.200	   0.732	       539.826	        52.227	    73.359	   476.515	   307.040	    92.270	     0.192	    17.994	469.894566	469.892578	539.604296	2324.151975
   1.400	   0.732	       544.179	        53.230	    73.261	   484.057	   307.867	    93.394	     0.191	    17.635	474.321425	474.319147	543.755021	2325.082603
   1.600	   0.732	       547.761	        53.964	    73.075	   491.486	   307.563	    94.535	     0.190	    17.244	477.921654	477.919024	547.560109	2325.274280
   1.800	   0.732	       551.079	        53.282	    73.014	   498.813	   308.466	    95.541	     0.189	    16.898	482.142701	482.139645	551.700706	2325.641658
   2.000	   0.732	       554.257	        53.041	    72.801	   506.029	   307.431	    96.571	     0.188	    16.480	484.084555	484.081035	553.748245	2324.734435
   2.200	   0.732	       556.750	        51.578	    72.561	   513.115	   305.810	    97.514	     0.186	    16.033	486.802653	486.798558	556.417669	2323.157147
   2.400	   0.732	       560.398	        50.865	    72.311	   520.068	   303.821	    98.386	     0.185	    15.573	489.892712	489.887886	559.753315	2322.533832
   2.600	   0.732	       563.432	        47.950	    71.937	   526.887	   300.086	    99.063	     0.183	    14.996	491.445238	491.439492	562.579834	2321.302953
   2.800	   0.732	       568.705	        48.426	    71.233	   533.462	   292.109	    99.789	     0.180	    14.271	497.620836	497.613899	567.783566	2319.884954
   3.000	   0.732	       573.941	        47.453	    70.334	   539.763	   281.483	   100.312	     0.176	    13.415	501.975679	501.968110	572.547838	2318.782014
   3.200	   0.732	       579.557	        45.950	    69.425	   545.753	   270.691	   100.686	     0.173	    12.574	507.724259	507.715992	578.075429	2316.600214
   3.400	   0.732	       585.280	        44.894	    68.383	   551.443	   258.193	   101.033	     0.169	    11.706	511.180528	511.171455	580.236969	2315.829524
   3.600	   0.732	       592.773	        45.923	    67.449	   556.822	   247.322	   101.358	     0.166	    10.962	519.459867	519.449852	590.275753	2315.334148
   3.800	   0.732	       597.927	        45.939	    66.310	   561.891	   234.351	   101.745	     0.162	    10.186	526.110904	526.099779	596.355503	2315.630016
   4.000	   0.732	       604.461	        47.900	    65.230	   566.659	   222.207	   102.132	     0.159	     9.488	532.275713	532.263251	602.573419	2316.977581
   4.200	   0.732	       610.190	        49.587	    64.161	   571.129	   210.729	   102.516	     0.155	     8.854	538.038387	538.024271	608.444375	2318.047628
   4.400	   0.732	       614.331	        49.873	    63.170	   575.344	   200.033	   102.873	     0.152	     8.279	542.718113	542.701832	612.545592	2318.126950
   4.600	   0.732	       618.222	        50.246	    62.125	   579.316	   189.262	   103.216	     0.149	     7.724	545.771914	545.752871	616.256239	2317.867658
   4.800	   0.732	       620.405	        49.207	    61.084	   583.046	   178.571	   103.543	     0.146	     7.194	548.371155	548.348455	618.571419	2316.518825
   5.000	   0.732	       622.112	        48.092	    59.913	   586.525	   166.925	   103.857	     0.143	     6.647	550.010752	549.983183	619.806573	2314.863686
   5.200	   0.732	       622.404	        45.852	    58.663	   589.756	   154.793	   104.152	     0.140	     6.097	550.520779	550.486329	621.411483	2313.693783
   5.400	   0.732	       624.368	        45.826	    57.202	   592.702	   141.016	   104.439	     0.136	     5.502	550.890399	550.849734	621.969590	2312.215207
   5.600	   0.732	       624.608	        44.653	    55.439	   595.340	   125.010	   104.715	     0.132	     4.839	550.737421	550.691255	621.787673	2310.395900
   5.800	   0.732	       625.404	        44.091	    53.663	   597.654	   109.681	   104.941	     0.127	     4.214	550.722205	550.669046	622.249881	2309.291475
   6.000	   0.732	       624.921	        42.844	    51.670	   599.655	    92.926	   105.161	     0.122	     3.550	551.075389	551.012796	622.367188	2307.668412
   6.200	   0.732	       626.363	        43.339	    49.897	   601.349	    79.221	   105.318	     0.118	     3.010	552.302306	552.226591	623.907275	2307.036283
   6.400	   0.732	       627.940	        44.647	    47.949	   602.753	    64.299	   105.484	     0.113	     2.433	554.007921	553.913026	625.193966	2308.252798
   6.600	   0.732	       629.547	        45.894	    46.116	   603.884	    51.599	   105.599	     0.109	     1.946	555.910096	555.784546	626.835214	2308.866676
   6.800	   0.732	       632.509	        48.912	    44.310	   604.760	    39.130	   105.709	     0.105	     1.472	558.966037	558.786584	629.751622	2311.021430
   7.000	   0.732	       636.048	        51.859	    42.844	   605.450	    29.713	   105.738	     0.101	     1.115	561.384473	561.091141	632.277130	2312.561796
   7.200	   0.732	       636.875	        52.261	    41.404	   605.957	    20.656	   105.753	     0.098	     0.773	564.323944	563.952950	634.800247	2313.214825
   7.400	   0.732	       638.757	        53.939	    40.143	   606.307	    12.732	   105.766	     0.095	     0.476	566.630297	566.257173	636.852454	2314.656377
   7.600	   0.732	       639.951	        54.486	    38.842	   606.507	     4.953	   105.712	     0.091	     0.185	566.473808	566.097301	637.006089	2314.496428
   7.800	   0.732	       638.815	        52.857	    37.605	   606.556	    -2.342	   105.648	     0.088	    -0.087	567.508592	567.128372	637.321023	2313.660874
   8.000	   0.732	       640.183	        53.994	    36.385	   606.469	    -9.494	   105.586	     0.086	    -0.353	567.712742	567.328450	637.911924	2313.717743
   8.200	   0.732	       638.444	        51.933	    35.038	   606.233	   -17.132	   105.488	     0.082	    -0.637	565.809936	565.422785	636.120993	2311.435153
   8.400	   0.732	       638.661	        51.677	    33.638	   605.857	   -24.790	   105.352	     0.079	    -0.922	566.041872	565.654959	636.287819	2310.582695
   8.600	   0.732	       638.108	        50.805	    32.062	   605.320	   -33.352	   105.200	     0.075	    -1.240	565.438558	565.052603	636.508995	2309.898194
   8.800	   0.732	       636.800	        49.452	    30.611	   604.630	   -40.718	   105.050	     0.072	    -1.514	564.465862	564.081381	635.369376	2308.646127
   9.000	   0.732	       638.350	        50.880	    28.956	   603.792	   -48.552	   104.865	     0.068	    -1.807	565.571150	565.190009	635.934819	2309.456095
   9.200	   0.732	       638.313	        51.161	    27.455	   602.810	   -55.527	   104.699	     0.064	    -2.070	563.635349	563.257638	634.449053	2309.360529
   9.400	   0.732	       639.536	        52.756	    25.995	   601.691	   -61.981	   104.516	     0.061	    -2.315	568.322579	567.945100	638.916340	2310.612439
   9.600	   0.732	       641.240	        55.173	    24.810	   600.457	   -66.825	   104.348	     0.058	    -2.503	568.265581	567.881894	639.102718	2312.121236
   9.800	   0.732	       641.088	        56.088	    23.753	   599.139	   -71.004	   104.200	     0.056	    -2.670	569.492063	569.093246	639.937916	2313.448913
  10.000	   0.732	       642.487	        59.074	    22.948	   597.748	   -73.956	   104.089	     0.054	    -2.794	570.416694	569.993999	640.659109	2315.920394
  10.200	   0.732	       641.726	        59.919	    22.082	   596.297	   -77.136	   103.969	     0.052	    -2.929	570.007256	569.559615	640.208859	2316.823304
  10.400	   0.732	       640.270	        59.980	    21.223	   594.776	   -80.273	   103.829	     0.050	    -3.063	568.530736	568.050521	638.078759	2316.519357
  10.600	   0.732	       638.140	        59.301	    20.309	   593.191	   -83.620	   103.671	     0.048	    -3.207	565.661877	565.145270	635.762105	2315.539828
  10.800	   0.732	       632.258	        54.594	    19.168	   591.524	   -87.950	   103.472	     0.045	    -3.389	559.458216	558.976636	630.006026	2310.785342
  11.000	   0.732	       628.093	        51.186	    17.701	   589.749	   -93.690	   103.214	     0.042	    -3.624	555.124759	554.692200	625.934157	2307.630410
  11.200	   0.732	       622.270	        45.893	    15.707	   587.835	  -102.680	   102.908	     0.037	    -3.987	548.503838	548.142769	619.191373	2302.663873
  11.400	   0.732	       616.026	        40.240	    13.375	   585.716	  -113.612	   102.570	     0.032	    -4.431	541.346166	541.073189	613.039531	2297.807417
  11.600	   0.732	       612.629	        37.609	    10.411	   583.312	  -130.615	   102.197	     0.025	    -5.119	535.107626	534.929854	607.068766	2293.847834
  11.800	   0.732	       606.234	        32.567	     7.185	   580.497	  -150.952	   101.808	     0.017	    -5.957	527.879067	527.790217	600.207181	2289.688568
  12.000	   0.732	       603.077	        31.518	     3.762	   577.206	  -172.478	   101.407	     0.009	    -6.870	525.916701	525.892072	598.959773	2288.491550
  12.200	   0.732	       598.971	        30.324	     0.244	   573.505	  -191.865	   101.010	     0.001	    -7.730	521.013756	521.013702	594.225518	2287.892948
  12.400	   0.732	       597.722	        31.621	    -3.361	   569.375	  -212.311	   100.511	    -0.008	    -8.655	520.646323	520.668364	593.310041	2288.340808
  12.600	   0.732	       596.541	        34.226	    -6.781	   564.691	  -239.374	   100.029	    -0.016	    -9.907	518.913868	519.008809	591.098673	2291.717723
  12.800	   0.732	       592.033	        37.362	    -9.615	   559.440	  -260.975	    99.793	    -0.023	   -11.056	516.479397	516.691211	588.850926	2294.606992
  13.000	   0.732	       586.565	        43.683	   -11.884	   553.704	  -278.671	    99.851	    -0.029	   -12.191	511.458789	511.804415	583.626453	2299.667914
