    时间	    汇点水头	    大井水位	    升管水位	    大井流量	    升管流量	    底板压差
   0.000	      0.283	   2345.283	    2345.283	      0.000	      0.000	      0.000
   0.200	      0.281	   2345.281	    2345.281	     -0.177	      0.000	     -0.000
   0.400	      0.281	   2345.281	    2345.281	      0.179	      0.000	      0.000
   0.600	      0.282	   2345.282	    2345.282	      0.032	      0.000	      0.000
   0.800	      0.282	   2345.282	    2345.282	     -0.030	      0.000	     -0.000
   1.000	      0.282	   2345.282	    2345.282	     -0.030	      0.000	     -0.000
   1.200	      0.281	   2345.281	    2345.281	      0.030	      0.000	      0.000
   1.400	      0.282	   2345.282	    2345.282	      0.173	      0.000	      0.000
   1.600	      0.282	   2345.282	    2345.282	     -0.183	      0.000	     -0.000
   1.800	      0.281	   2345.281	    2345.281	     -0.038	      0.000	     -0.000
   2.000	      0.282	   2345.282	    2345.282	      0.161	      0.000	      0.000
   2.200	      0.282	   2345.282	    2345.282	     -0.197	      0.000	     -0.000
   2.400	      0.281	   2345.281	    2345.281	     -0.056	      0.000	     -0.000
   2.600	      0.281	   2345.281	    2345.281	     -0.002	      0.000	     -0.000
   2.800	      0.281	   2345.281	    2345.281	      0.134	      0.000	      0.000
   3.000	      0.281	   2345.281	    2345.281	     -0.085	      0.000	     -0.000
   3.200	      0.279	   2345.279	    2345.279	     -0.237	      0.000	     -0.000
   3.400	      0.280	   2345.280	    2345.280	      0.097	      0.000	      0.000
   3.600	      0.280	   2345.280	    2345.280	     -0.068	      0.000	     -0.000
   3.800	      0.278	   2345.278	    2345.278	     -0.146	      0.000	     -0.000
   4.000	      0.277	   2345.277	    2345.277	      0.032	      0.000	      0.000
   4.200	      0.276	   2345.276	    2345.276	     -0.145	      0.000	     -0.000
   4.400	      0.275	   2345.275	    2345.275	     -0.246	      0.000	     -0.000
   4.600	      0.272	   2345.272	    2345.272	     -0.428	      0.000	     -0.000
   4.800	      0.270	   2345.270	    2345.270	     -0.127	      0.000	     -0.000
   5.000	      0.269	   2345.269	    2345.269	     -0.190	      0.000	     -0.000
   5.200	      0.265	   2345.265	    2345.265	     -0.594	      0.000	     -0.000
   5.400	      0.261	   2345.261	    2345.261	     -0.517	      0.000	     -0.000
   5.600	      0.257	   2345.257	    2345.257	     -0.540	      0.000	     -0.000
   5.800	      0.253	   2345.253	    2345.253	     -0.687	      0.000	     -0.000
   6.000	      0.247	   2345.247	    2345.247	     -0.783	      0.000	     -0.000
