 机组号	 蜗壳最大压力	   时间	 尾水管最小压力	   时间	  最大转速升高率	   时间	 尾水管最大压力	   时间
  J 10	        671.22	    10.06	          38.93	    3.32	          38.96	     7.04	          80.88	   58.46
  J 18	        671.22	    10.06	          38.93	    3.32	          38.96	     7.04	          80.88	   58.46
 调压室号	   最高涌浪	   时间	       最低涌浪	   时间	   向下最大压差	    时间	   向上最大压差	    时间
  J  2	       2808.90	    36.52	        2805.46	   95.46	           0.00	    73.48	           0.00	    31.60
  J  3	       2830.67	    38.38	        2786.13	   99.96	           0.96	    71.06	           1.71	    11.98
  J 12	       2354.60	    58.96	        2332.85	   18.66	           0.76	    12.28	           0.46	    38.56
  J 13	       2350.57	    53.68	        2338.57	   21.52	           0.08	    79.24	           0.09	    47.30
  J 20	       2354.60	    58.96	        2332.85	   18.66	           0.76	    12.28	           0.46	    38.56
  J 21	       2350.57	    53.68	        2338.57	   21.52	           0.08	    79.24	           0.09	    47.30
   球阀号	上游侧最大压力值	   时间	下游侧最大压力值	   时间	上游侧最小压力值	   时间	下游侧最小压力值	   时间
  J  8	        598.09	    10.08	         598.09	    10.08	        357.63	    18.12	        357.63	    18.12
  J 16	        598.09	    10.08	         598.09	    10.08	        357.60	    18.12	        357.60	    18.12
