    时间	    汇点水头	    大井水位	    升管水位	    大井流量	    升管流量	    底板压差
   0.000	      0.283	   2345.283	    2345.283	      0.000	      0.000	      0.000
   0.400	      0.281	   2345.281	    2345.281	      0.182	      0.000	      0.000
   0.800	      0.282	   2345.282	    2345.282	     -0.028	      0.000	     -0.000
   1.200	      0.281	   2345.281	    2345.281	      0.026	      0.000	      0.000
   1.600	      0.282	   2345.282	    2345.282	     -0.190	      0.000	     -0.000
   2.000	      0.282	   2345.282	    2345.282	      0.155	      0.000	      0.000
   2.400	      0.281	   2345.281	    2345.281	     -0.072	      0.000	     -0.000
   2.800	      0.280	   2345.280	    2345.280	     -0.049	      0.000	     -0.000
   3.200	      0.278	   2345.278	    2345.278	     -0.299	      0.000	     -0.000
   3.600	      0.277	   2345.277	    2345.277	     -0.011	      0.000	     -0.000
   4.000	      0.272	   2345.272	    2345.272	     -0.097	      0.000	     -0.000
   4.400	      0.268	   2345.268	    2345.268	     -0.584	      0.000	     -0.000
   4.800	      0.260	   2345.260	    2345.260	     -0.542	      0.000	     -0.000
   5.200	      0.250	   2345.250	    2345.250	     -0.804	      0.000	     -0.000
   5.600	      0.236	   2345.236	    2345.236	     -0.847	      0.000	     -0.000
   6.000	      0.217	   2345.217	    2345.217	     -1.343	      0.000	     -0.000
   6.400	      0.195	   2345.195	    2345.195	     -1.654	      0.000	     -0.000
   6.800	      0.164	   2345.165	    2345.165	     -2.278	      0.000	     -0.001
   7.200	      0.129	   2345.130	    2345.130	     -2.426	      0.000	     -0.001
   7.600	      0.082	   2345.084	    2345.084	     -2.973	      0.000	     -0.001
   8.000	      0.028	   2345.031	    2345.031	     -3.946	      0.000	     -0.002
   8.400	     -0.036	   2344.967	    2344.967	     -4.424	      0.000	     -0.003
   8.800	     -0.112	   2344.892	    2344.892	     -5.223	      0.000	     -0.004
   9.200	     -0.200	   2344.805	    2344.805	     -5.839	      0.000	     -0.005
   9.600	     -0.304	   2344.704	    2344.704	     -7.044	      0.000	     -0.008
  10.000	     -0.419	   2344.591	    2344.591	     -7.808	      0.000	     -0.010
  10.400	     -0.551	   2344.461	    2344.461	     -8.839	      0.000	     -0.012
  10.800	     -0.698	   2344.317	    2344.317	     -9.678	      0.000	     -0.015
  11.200	     -0.864	   2344.154	    2344.154	    -10.704	      0.000	     -0.018
  11.600	     -1.045	   2343.978	    2343.978	    -12.090	      0.000	     -0.023
  12.000	     -1.242	   2343.784	    2343.784	    -12.940	      0.000	     -0.026
  12.400	     -1.456	   2343.575	    2343.575	    -14.009	      0.000	     -0.031
  12.800	     -1.685	   2343.349	    2343.349	    -14.806	      0.000	     -0.034
  13.200	     -1.931	   2343.109	    2343.109	    -16.027	      0.000	     -0.040
  13.600	     -2.188	   2342.856	    2342.856	    -16.696	      0.000	     -0.044
  14.000	     -2.458	   2342.590	    2342.590	    -17.446	      0.000	     -0.048
  14.400	     -2.735	   2342.315	    2342.315	    -17.868	      0.000	     -0.050
  14.800	     -3.024	   2342.030	    2342.030	    -18.442	      0.000	     -0.053
  15.200	     -3.315	   2341.741	    2341.741	    -18.929	      0.000	     -0.056
  15.600	     -3.608	   2341.447	    2341.447	    -18.744	      0.000	     -0.055
  16.000	     -3.903	   2341.154	    2341.154	    -18.873	      0.000	     -0.056
  16.400	     -4.192	   2340.861	    2340.861	    -18.470	      0.000	     -0.054
  16.800	     -4.479	   2340.575	    2340.575	    -18.352	      0.000	     -0.053
  17.200	     -4.752	   2340.297	    2340.297	    -17.596	      0.000	     -0.049
  17.600	     -5.017	   2340.028	    2340.028	    -16.810	      0.000	     -0.045
  18.000	     -5.264	   2339.775	    2339.775	    -15.653	      0.000	     -0.039
  18.400	     -5.496	   2339.537	    2339.537	    -14.589	      0.000	     -0.034
  18.800	     -5.707	   2339.321	    2339.321	    -13.410	      0.000	     -0.028
  19.200	     -5.895	   2339.127	    2339.127	    -11.562	      0.000	     -0.021
  19.600	     -6.059	   2338.957	    2338.957	    -10.028	      0.000	     -0.016
  20.000	     -6.195	   2338.816	    2338.816	     -8.139	      0.000	     -0.011
  20.400	     -6.302	   2338.704	    2338.704	     -6.316	      0.000	     -0.006
  20.800	     -6.378	   2338.625	    2338.625	     -3.946	      0.000	     -0.003
  21.200	     -6.423	   2338.578	    2338.578	     -1.889	      0.000	     -0.001
  21.600	     -6.433	   2338.567	    2338.567	      0.536	      0.000	      0.000
  22.000	     -6.409	   2338.590	    2338.590	      2.725	      0.000	      0.001
  22.400	     -6.345	   2338.651	    2338.651	      4.858	      0.000	      0.004
  22.800	     -6.245	   2338.747	    2338.747	      7.472	      0.000	      0.009
  23.200	     -6.108	   2338.878	    2338.878	      9.551	      0.000	      0.014
  23.600	     -5.935	   2339.044	    2339.044	     11.739	      0.000	      0.021
  24.000	     -5.729	   2339.242	    2339.242	     13.614	      0.000	      0.029
  24.400	     -5.489	   2339.472	    2339.472	     15.767	      0.000	      0.039
  24.800	     -5.225	   2339.728	    2339.728	     17.344	      0.000	      0.047
  25.200	     -4.934	   2340.010	    2340.010	     18.870	      0.000	      0.056
  25.600	     -4.623	   2340.313	    2340.313	     20.160	      0.000	      0.064
  26.000	     -4.294	   2340.636	    2340.636	     21.143	      0.000	      0.070
  26.400	     -3.952	   2340.971	    2340.971	     22.120	      0.000	      0.077
  26.800	     -3.603	   2341.318	    2341.318	     22.484	      0.000	      0.079
  27.200	     -3.249	   2341.670	    2341.670	     22.750	      0.000	      0.081
  27.600	     -2.896	   2342.024	    2342.024	     22.562	      0.000	      0.080
  28.000	     -2.545	   2342.375	    2342.375	     22.515	      0.000	      0.080
  28.400	     -2.206	   2342.719	    2342.719	     21.813	      0.000	      0.075
  28.800	     -1.878	   2343.053	    2343.053	     20.988	      0.000	      0.069
  29.200	     -1.567	   2343.371	    2343.371	     19.918	      0.000	      0.063
  29.600	     -1.274	   2343.671	    2343.671	     18.559	      0.000	      0.054
  30.000	     -1.005	   2343.948	    2343.948	     17.233	      0.000	      0.047
  30.400	     -0.762	   2344.201	    2344.201	     15.262	      0.000	      0.037
  30.800	     -0.544	   2344.427	    2344.427	     13.551	      0.000	      0.029
  31.200	     -0.357	   2344.622	    2344.622	     11.545	      0.000	      0.021
  31.600	     -0.199	   2344.786	    2344.786	      9.614	      0.000	      0.015
  32.000	     -0.075	   2344.917	    2344.917	      7.378	      0.000	      0.009
  32.400	      0.020	   2345.016	    2345.016	      5.229	      0.000	      0.004
  32.800	      0.081	   2345.080	    2345.080	      3.111	      0.000	      0.002
  33.200	      0.113	   2345.112	    2345.112	      0.989	      0.000	      0.000
  33.600	      0.112	   2345.112	    2345.112	     -0.804	      0.000	     -0.000
  34.000	      0.081	   2345.083	    2345.083	     -2.927	      0.000	     -0.001
  34.400	      0.023	   2345.026	    2345.026	     -4.498	      0.000	     -0.003
  34.800	     -0.062	   2344.944	    2344.944	     -6.043	      0.000	     -0.006
  35.200	     -0.169	   2344.840	    2344.840	     -7.244	      0.000	     -0.008
  35.600	     -0.296	   2344.715	    2344.715	     -8.583	      0.000	     -0.012
  36.000	     -0.436	   2344.577	    2344.577	     -9.365	      0.000	     -0.014
  36.400	     -0.589	   2344.426	    2344.426	     -9.874	      0.000	     -0.015
  36.800	     -0.749	   2344.268	    2344.268	    -10.402	      0.000	     -0.017
  37.200	     -0.913	   2344.104	    2344.104	    -10.335	      0.000	     -0.017
  37.600	     -1.075	   2343.942	    2343.942	    -10.471	      0.000	     -0.017
  38.000	     -1.231	   2343.784	    2343.784	     -9.951	      0.000	     -0.016
  38.400	     -1.380	   2343.634	    2343.634	     -9.298	      0.000	     -0.014
  38.800	     -1.515	   2343.496	    2343.496	     -8.279	      0.000	     -0.011
  39.200	     -1.635	   2343.373	    2343.373	     -7.379	      0.000	     -0.009
  39.600	     -1.734	   2343.271	    2343.271	     -5.957	      0.000	     -0.006
  40.000	     -1.813	   2343.190	    2343.190	     -4.296	      0.000	     -0.003
  40.400	     -1.867	   2343.135	    2343.135	     -2.740	      0.000	     -0.001
  40.800	     -1.894	   2343.106	    2343.106	     -0.846	      0.000	     -0.000
  41.200	     -1.892	   2343.108	    2343.108	      0.952	      0.000	      0.000
  41.600	     -1.858	   2343.141	    2343.141	      3.225	      0.000	      0.002
  42.000	     -1.791	   2343.205	    2343.205	      5.234	      0.000	      0.004
  42.400	     -1.688	   2343.303	    2343.303	      7.487	      0.000	      0.009
  42.800	     -1.552	   2343.434	    2343.434	      9.382	      0.000	      0.014
  43.200	     -1.380	   2343.599	    2343.599	     11.549	      0.000	      0.021
  43.600	     -1.177	   2343.794	    2343.794	     13.709	      0.000	      0.029
  44.000	     -0.942	   2344.021	    2344.021	     15.490	      0.000	      0.038
  44.400	     -0.677	   2344.276	    2344.276	     17.314	      0.000	      0.047
  44.800	     -0.387	   2344.558	    2344.558	     18.791	      0.000	      0.055
  45.200	     -0.070	   2344.864	    2344.864	     20.465	      0.000	      0.066
  45.600	      0.264	   2345.190	    2345.190	     21.620	      0.000	      0.073
  46.000	      0.615	   2345.535	    2345.535	     22.639	      0.000	      0.080
  46.400	      0.979	   2345.893	    2345.893	     23.318	      0.000	      0.085
  46.800	      1.354	   2346.263	    2346.263	     24.042	      0.000	      0.091
  47.200	      1.731	   2346.638	    2346.638	     24.369	      0.000	      0.094
  47.600	      2.108	   2347.016	    2347.016	     24.280	      0.000	      0.093
  48.000	      2.483	   2347.392	    2347.392	     24.070	      0.000	      0.091
  48.400	      2.850	   2347.763	    2347.763	     23.437	      0.000	      0.086
  48.800	      3.207	   2348.124	    2348.124	     22.922	      0.000	      0.083
  49.200	      3.547	   2348.472	    2348.472	     21.860	      0.000	      0.075
  49.600	      3.870	   2348.803	    2348.803	     20.636	      0.000	      0.067
  50.000	      4.170	   2349.113	    2349.113	     19.111	      0.000	      0.058
  50.400	      4.450	   2349.400	    2349.400	     17.675	      0.000	      0.049
  50.800	      4.700	   2349.659	    2349.659	     15.926	      0.000	      0.040
  51.200	      4.921	   2349.891	    2349.891	     13.757	      0.000	      0.030
  51.600	      5.112	   2350.090	    2350.090	     11.806	      0.000	      0.022
  52.000	      5.272	   2350.257	    2350.257	      9.588	      0.000	      0.015
  52.400	      5.398	   2350.389	    2350.389	      7.458	      0.000	      0.009
  52.800	      5.490	   2350.485	    2350.485	      5.086	      0.000	      0.004
  53.200	      5.548	   2350.547	    2350.547	      2.722	      0.000	      0.001
  53.600	      5.571	   2350.571	    2350.571	      0.299	      0.000	      0.000
  54.000	      5.559	   2350.560	    2350.560	     -1.808	      0.000	     -0.000
  54.400	      5.510	   2350.512	    2350.512	     -3.989	      0.000	     -0.002
  54.800	      5.425	   2350.432	    2350.432	     -6.360	      0.000	     -0.006
  55.200	      5.308	   2350.319	    2350.319	     -8.261	      0.000	     -0.011
  55.600	      5.159	   2350.175	    2350.175	    -10.164	      0.000	     -0.016
  56.000	      4.982	   2350.004	    2350.004	    -11.749	      0.000	     -0.022
  56.400	      4.779	   2349.807	    2349.807	    -13.449	      0.000	     -0.028
  56.800	      4.555	   2349.589	    2349.589	    -14.707	      0.000	     -0.034
  57.200	      4.312	   2349.351	    2349.351	    -15.803	      0.000	     -0.039
  57.600	      4.056	   2349.099	    2349.099	    -16.579	      0.000	     -0.043
  58.000	      3.788	   2348.834	    2348.834	    -17.150	      0.000	     -0.046
  58.400	      3.512	   2348.562	    2348.562	    -17.782	      0.000	     -0.050
  58.800	      3.236	   2348.286	    2348.286	    -17.805	      0.000	     -0.050
  59.200	      2.960	   2348.009	    2348.009	    -17.720	      0.000	     -0.049
  59.600	      2.689	   2347.736	    2347.736	    -17.260	      0.000	     -0.047
  60.000	      2.425	   2347.470	    2347.470	    -16.882	      0.000	     -0.045
  60.400	      2.174	   2347.215	    2347.215	    -16.054	      0.000	     -0.041
  60.800	      1.936	   2346.972	    2346.972	    -15.070	      0.000	     -0.036
  61.200	      1.717	   2346.747	    2346.747	    -13.839	      0.000	     -0.030
  61.600	      1.514	   2346.539	    2346.539	    -12.592	      0.000	     -0.025
  62.000	      1.334	   2346.355	    2346.355	    -11.312	      0.000	     -0.020
  62.400	      1.178	   2346.192	    2346.192	     -9.566	      0.000	     -0.015
  62.800	      1.044	   2346.055	    2346.055	     -8.049	      0.000	     -0.010
  63.200	      0.936	   2345.942	    2345.942	     -6.248	      0.000	     -0.006
  63.600	      0.853	   2345.856	    2345.856	     -4.745	      0.000	     -0.004
  64.000	      0.796	   2345.798	    2345.798	     -2.994	      0.000	     -0.001
  64.400	      0.764	   2345.764	    2345.764	     -1.294	      0.000	     -0.000
  64.800	      0.757	   2345.757	    2345.757	      0.408	      0.000	      0.000
  65.200	      0.774	   2345.773	    2345.773	      1.885	      0.000	      0.001
  65.600	      0.816	   2345.814	    2345.814	      3.170	      0.000	      0.002
  66.000	      0.879	   2345.876	    2345.876	      4.690	      0.000	      0.003
  66.400	      0.961	   2345.956	    2345.956	      5.748	      0.000	      0.005
  66.800	      1.061	   2346.054	    2346.054	      6.752	      0.000	      0.007
  67.200	      1.173	   2346.165	    2346.165	      7.451	      0.000	      0.009
  67.600	      1.298	   2346.288	    2346.288	      8.188	      0.000	      0.011
  68.000	      1.428	   2346.417	    2346.417	      8.530	      0.000	      0.011
  68.400	      1.563	   2346.551	    2346.551	      8.798	      0.000	      0.012
  68.800	      1.698	   2346.686	    2346.686	      8.676	      0.000	      0.012
  69.200	      1.830	   2346.820	    2346.820	      8.271	      0.000	      0.011
  69.600	      1.957	   2346.947	    2346.947	      8.018	      0.000	      0.010
  70.000	      2.073	   2347.065	    2347.065	      7.248	      0.000	      0.008
  70.400	      2.177	   2347.171	    2347.171	      6.371	      0.000	      0.006
  70.800	      2.266	   2347.262	    2347.262	      5.205	      0.000	      0.004
  71.200	      2.338	   2347.335	    2347.335	      4.111	      0.000	      0.003
  71.600	      2.388	   2347.387	    2347.387	      2.679	      0.000	      0.001
  72.000	      2.417	   2347.417	    2347.417	      1.134	      0.000	      0.000
  72.400	      2.422	   2347.422	    2347.422	     -0.500	      0.000	     -0.000
  72.800	      2.400	   2347.401	    2347.401	     -2.281	      0.000	     -0.001
  73.200	      2.350	   2347.352	    2347.352	     -3.937	      0.000	     -0.002
  73.600	      2.269	   2347.275	    2347.275	     -5.844	      0.000	     -0.005
  74.000	      2.160	   2347.169	    2347.169	     -7.712	      0.000	     -0.009
  74.400	      2.021	   2347.035	    2347.035	     -9.634	      0.000	     -0.015
  74.800	      1.853	   2346.873	    2346.873	    -11.269	      0.000	     -0.020
  75.200	      1.656	   2346.683	    2346.683	    -13.021	      0.000	     -0.026
  75.600	      1.434	   2346.467	    2346.467	    -14.679	      0.000	     -0.034
  76.000	      1.186	   2346.227	    2346.227	    -16.178	      0.000	     -0.041
  76.400	      0.917	   2345.965	    2345.965	    -17.575	      0.000	     -0.048
  76.800	      0.628	   2345.682	    2345.682	    -18.647	      0.000	     -0.055
  77.200	      0.320	   2345.382	    2345.382	    -19.845	      0.000	     -0.062
  77.600	      0.001	   2345.068	    2345.068	    -20.625	      0.000	     -0.067
  78.000	     -0.329	   2344.742	    2344.742	    -21.265	      0.000	     -0.071
  78.400	     -0.666	   2344.408	    2344.408	    -21.624	      0.000	     -0.073
  78.800	     -1.008	   2344.068	    2344.068	    -21.858	      0.000	     -0.075
  79.200	     -1.348	   2343.727	    2343.727	    -21.909	      0.000	     -0.076
  79.600	     -1.686	   2343.388	    2343.388	    -21.679	      0.000	     -0.074
  80.000	     -2.017	   2343.054	    2343.054	    -21.261	      0.000	     -0.071
