    时间	    开度值	      蜗壳压力	      尾水管压力	    流量	      转速	      出力	  单位转速	  单位流量	  单位力矩	球阀前压力	球阀后压力	蜗壳进口压力	尾水管出口压力
   0.000	   0.600	       534.467	        56.638	   -61.829	  -428.600	  -319.714	   -83.040	    -0.162	    20.856	469.469574	469.817059	534.467365	2323.458992
   0.200	   0.600	       523.343	        61.671	   -60.948	  -419.974	  -301.695	   -83.164	    -0.163	    20.981	455.444566	455.444722	525.623298	2327.097113
   0.400	   0.600	       511.041	        67.347	   -59.723	  -411.681	  -284.122	   -83.157	    -0.163	    20.974	443.623800	443.624053	513.630556	2332.144900
   0.600	   0.600	       500.057	        73.279	   -58.537	  -403.713	  -267.872	   -83.146	    -0.163	    20.963	432.493034	432.493528	502.521716	2337.725669
   0.800	   0.600	       489.360	        78.512	   -57.387	  -396.049	  -252.821	   -83.132	    -0.163	    20.949	421.681379	421.682328	491.689114	2342.741837
   1.000	   0.600	       475.049	        78.163	   -55.935	  -388.681	  -238.156	   -82.990	    -0.161	    20.806	407.666917	407.667939	477.603907	2341.777149
   1.200	   0.600	       459.010	        74.793	   -54.378	  -381.612	  -224.287	   -82.788	    -0.159	    20.603	392.574176	392.575274	462.505709	2337.857665
   1.400	   0.600	       444.480	        72.053	   -52.711	  -374.839	  -210.990	   -82.564	    -0.157	    20.341	377.922345	377.923530	447.746677	2334.536938
   1.600	   0.600	       430.477	        69.319	   -51.175	  -368.348	  -198.868	   -82.362	    -0.154	    20.105	363.815302	363.816599	433.643051	2331.159361
   1.800	   0.600	       420.190	        70.041	   -49.848	  -362.116	  -187.973	   -82.211	    -0.153	    19.928	353.501208	353.502642	423.637118	2332.140500
   2.000	   0.600	       412.878	        73.322	   -48.637	  -356.117	  -177.997	   -82.083	    -0.151	    19.779	345.441598	345.443175	415.187661	2334.398375
   2.200	   0.600	       404.790	        75.144	   -47.415	  -350.341	  -168.624	   -81.937	    -0.150	    19.609	337.430081	337.431834	407.086411	2335.958378
   2.400	   0.600	       397.680	        77.398	   -46.220	  -344.776	  -159.992	   -81.786	    -0.148	    19.449	330.156201	330.158176	399.850883	2338.000752
   2.600	   0.600	       388.593	        76.705	   -44.850	  -339.414	  -151.606	   -81.561	    -0.145	    19.211	323.460842	323.463076	392.183767	2337.311863
   2.800	   0.600	       388.982	        82.551	   -42.199	  -334.287	  -141.820	   -80.957	    -0.138	    18.533	325.809120	325.811559	394.079013	2340.476527
   3.000	   0.600	       388.879	        88.731	   -39.367	  -329.420	  -132.615	   -80.525	    -0.130	    17.917	325.429902	325.432276	393.436748	2346.032430
   3.200	   0.600	       385.948	        95.287	   -36.375	  -324.815	  -123.309	   -80.605	    -0.122	    17.413	322.832487	322.834764	390.906461	2351.686699
   3.400	   0.600	       384.015	       102.877	   -33.547	  -320.476	  -114.632	   -80.792	    -0.114	    16.932	320.050001	320.052181	386.421633	2359.487774
   3.600	   0.600	       376.520	       105.010	   -29.918	  -316.418	  -104.709	   -81.079	    -0.103	    16.184	314.271809	314.273802	381.991141	2359.345790
   3.800	   0.600	       369.249	       104.222	   -26.140	  -312.693	   -94.263	   -81.005	    -0.091	    15.068	308.269672	308.271413	375.921477	2358.006534
   4.000	   0.600	       363.124	       102.688	   -22.303	  -309.317	   -84.481	   -80.747	    -0.079	    13.863	301.166033	301.167499	368.678838	2356.637649
   4.200	   0.600	       364.218	        98.614	   -18.915	  -306.256	   -75.532	   -79.095	    -0.066	    12.253	301.373346	301.374596	369.566853	2352.313430
   4.400	   0.600	       354.834	        95.380	   -16.140	  -303.485	   -67.958	   -79.260	    -0.057	    11.376	291.152456	291.153540	358.940630	2349.086349
   4.600	   0.600	       348.357	        93.337	   -13.334	  -300.979	   -60.695	   -79.247	    -0.047	    10.413	284.855083	284.855979	353.360334	2346.269287
   4.800	   0.600	       341.540	        90.776	   -10.461	  -298.732	   -53.956	   -79.286	    -0.037	     9.477	278.632913	278.633597	347.036812	2344.053104
   5.000	   0.600	       339.789	        92.873	    -7.880	  -296.713	   -48.137	   -79.339	    -0.028	     8.640	275.952551	275.953047	343.525341	2345.557280
   5.200	   0.600	       337.297	        93.895	    -5.557	  -294.894	   -43.108	   -79.404	    -0.020	     7.894	275.052212	275.052531	343.754051	2347.122516
   5.400	   0.600	       338.783	        98.705	    -2.669	  -293.278	   -37.403	   -79.501	    -0.010	     6.980	276.849422	276.849518	344.671940	2350.431165
   5.600	   0.600	       340.439	       102.104	     0.371	  -291.806	   -35.426	   -79.387	     0.001	     6.693	278.575302	278.575301	346.247259	2353.938910
   5.800	   0.600	       340.442	       103.518	     3.711	  -290.419	   -33.247	   -79.252	     0.014	     6.350	277.122359	277.122129	345.587698	2355.796954
   6.000	   0.600	       342.310	       105.674	     6.673	  -289.099	   -31.860	   -78.956	     0.025	     6.123	281.803108	281.802066	348.448213	2357.862152
   6.200	   0.600	       346.621	       106.398	    10.540	  -287.801	   -32.232	   -78.047	     0.039	     6.134	284.598265	284.595021	353.337372	2358.737155
   6.400	   0.600	       351.632	       104.950	    14.012	  -286.426	   -35.195	   -76.691	     0.051	     6.561	289.793276	289.785209	357.095112	2358.209469
   6.600	   0.600	       357.676	       102.270	    17.151	  -284.888	   -39.464	   -75.008	     0.061	     7.152	295.090714	295.073375	362.375624	2356.371510
   6.800	   0.600	       363.408	        99.558	    19.936	  -283.165	   -43.852	   -73.393	     0.070	     7.749	298.489123	298.453502	366.503854	2353.788823
   7.000	   0.600	       365.097	        94.097	    22.528	  -281.260	   -47.801	   -71.973	     0.078	     8.289	294.420235	294.341741	367.220864	2348.080826
   7.200	   0.600	       367.649	        90.218	    24.905	  -279.173	   -52.118	   -70.647	     0.085	     8.905	300.867959	300.734464	370.240416	2344.589575
   7.400	   0.600	       372.943	        88.519	    27.270	  -276.850	   -57.653	   -69.235	     0.092	     9.701	306.436236	306.264225	374.831682	2344.422403
   7.600	   0.600	       380.148	        89.280	    29.292	  -274.259	   -63.469	   -67.859	     0.098	    10.552	313.467574	313.253521	381.137231	2345.822712
   7.800	   0.600	       385.754	        89.769	    30.893	  -271.412	   -68.515	   -66.601	     0.102	    11.322	319.819739	319.563160	385.920666	2347.328030
   8.000	   0.600	       396.914	        92.699	    32.757	  -268.290	   -74.899	   -64.970	     0.107	    12.194	329.742731	329.429105	393.046398	2348.037735
