 机组号	 蜗壳最大压力	   时间	 尾水管最小压力	   时间	  最大转速升高率	   时间	 尾水管最大压力	   时间
  J 10	        564.74	    79.14	          49.93	   51.29	         -25.71	    28.87	         112.89	    6.27
  J 18	        536.26	     0.01	          43.69	   57.03	          21.13	    31.22	         108.10	    6.16
 调压室号	   最高涌浪	   时间	       最低涌浪	   时间	   向下最大压差	    时间	   向上最大压差	    时间
  J  2	       2808.76	    77.21	        2804.63	   32.89	           0.01	    12.24	           0.01	    55.01
  J  3	       2833.46	    80.00	        2772.46	   30.09	           2.32	    12.12	           1.77	    59.25
  J 12	       2362.97	    20.78	        2326.98	   52.01	           1.48	    34.13	           1.08	     9.52
  J 13	       2353.59	    20.45	        2337.58	   52.15	           0.08	    27.52	           0.09	    13.49
  J 20	       2367.04	    22.88	        2324.31	   54.48	           2.57	    36.06	           1.33	    71.16
  J 21	       2354.76	    21.28	        2337.50	   50.88	           0.08	    40.54	           0.10	    14.27
   球阀号	上游侧最大压力值	   时间	下游侧最大压力值	   时间	上游侧最小压力值	   时间	下游侧最小压力值	   时间
  J  8	        490.36	    78.99	         490.36	    78.99	        246.69	     7.54	        246.69	     7.54
  J 16	        574.43	    79.93	         469.82	     0.00	        272.06	     5.14	        137.00	    79.95
