  管道号	    流量	始端压力	末端压力
  L  1	-123.6572	 462.0000	 462.2418
  L  2	-123.6572	 462.2418	 463.3894
  L  3	-123.6572	 463.3894	 463.4227
  L  4	-123.6572	 463.4227	 464.0228
  L  5	-123.6572	 464.0228	 466.2946
  L  6	 -61.8287	 466.2946	 468.5448
  L  7	 -61.8287	 468.5448	 469.4696
  L  8	 -61.8287	 469.4696	 469.8171
  L  9	 -61.8287	 469.8171	 469.8171
  L 10	 -61.8287	  -0.5207	  -0.5207
  L 11	 -61.8287	  -0.5207	  -0.3169
  L 12	 -61.8287	  -0.3169	  -0.0818
  L 13	 -61.8287	  -0.0818	   0.0000
  L 14	 -61.8287	 466.2946	 468.5448
  L 15	 -61.8287	 468.5448	 469.4696
  L 16	 -61.8287	 469.4696	 469.8171
  L 17	 -61.8287	 469.8171	 469.8171
  L 18	 -61.8287	  -0.5207	  -0.5207
  L 19	 -61.8287	  -0.5207	  -0.3169
  L 20	 -61.8287	  -0.3169	  -0.0818
  L 21	 -61.8287	  -0.0818	   0.0000
