    时间	    汇点水头	    大井水位	    升管水位	    大井流量	    升管流量	    底板压差
   0.000	     -0.082	   2344.918	    2344.918	      0.000	      0.000	      0.000
   0.200	     -0.083	   2344.917	    2344.917	     -0.122	      0.000	     -0.000
   0.400	     -0.083	   2344.917	    2344.917	      0.123	      0.000	      0.000
   0.600	     -0.082	   2344.918	    2344.918	      0.021	      0.000	      0.000
   0.800	     -0.082	   2344.918	    2344.918	     -0.020	      0.000	     -0.000
   1.000	     -0.082	   2344.918	    2344.918	     -0.017	      0.000	     -0.000
   1.200	     -0.083	   2344.917	    2344.917	      0.033	      0.000	      0.000
   1.400	     -0.082	   2344.918	    2344.918	      0.147	      0.000	      0.000
   1.600	     -0.082	   2344.918	    2344.918	     -0.077	      0.000	     -0.000
   1.800	     -0.082	   2344.918	    2344.918	      0.050	      0.000	      0.000
   2.000	     -0.081	   2344.919	    2344.919	      0.222	      0.000	      0.000
   2.200	     -0.080	   2344.920	    2344.920	      0.018	      0.000	      0.000
   2.400	     -0.079	   2344.921	    2344.921	      0.165	      0.000	      0.000
   2.600	     -0.077	   2344.923	    2344.923	      0.262	      0.000	      0.000
   2.800	     -0.075	   2344.925	    2344.925	      0.427	      0.000	      0.000
   3.000	     -0.072	   2344.928	    2344.928	      0.358	      0.000	      0.000
   3.200	     -0.069	   2344.931	    2344.931	      0.345	      0.000	      0.000
   3.400	     -0.065	   2344.935	    2344.935	      0.681	      0.000	      0.000
   3.600	     -0.060	   2344.940	    2344.940	      0.697	      0.000	      0.000
   3.800	     -0.054	   2344.945	    2344.945	      0.798	      0.000	      0.000
   4.000	     -0.047	   2344.952	    2344.952	      1.095	      0.000	      0.000
   4.200	     -0.039	   2344.961	    2344.961	      1.174	      0.000	      0.000
   4.400	     -0.029	   2344.971	    2344.971	      1.336	      0.000	      0.000
   4.600	     -0.018	   2344.982	    2344.982	      1.464	      0.000	      0.000
   4.800	     -0.004	   2344.995	    2344.995	      1.948	      0.000	      0.001
   5.000	      0.012	   2345.011	    2345.011	      2.211	      0.000	      0.001
   5.200	      0.029	   2345.028	    2345.028	      2.270	      0.000	      0.001
   5.400	      0.049	   2345.047	    2345.047	      2.686	      0.000	      0.001
   5.600	      0.072	   2345.070	    2345.070	      3.057	      0.000	      0.001
   5.800	      0.097	   2345.095	    2345.095	      3.379	      0.000	      0.002
   6.000	      0.125	   2345.123	    2345.123	      3.761	      0.000	      0.002
   6.200	      0.157	   2345.154	    2345.154	      4.220	      0.000	      0.003
   6.400	      0.192	   2345.189	    2345.189	      4.765	      0.000	      0.004
   6.600	      0.231	   2345.227	    2345.227	      5.012	      0.000	      0.004
   6.800	      0.273	   2345.268	    2345.268	      5.625	      0.000	      0.005
   7.000	      0.321	   2345.314	    2345.314	      6.289	      0.000	      0.006
   7.200	      0.372	   2345.365	    2345.365	      6.759	      0.000	      0.007
   7.400	      0.428	   2345.419	    2345.419	      7.315	      0.000	      0.008
   7.600	      0.488	   2345.478	    2345.478	      7.961	      0.000	      0.010
   7.800	      0.555	   2345.543	    2345.543	      8.699	      0.000	      0.012
   8.000	      0.626	   2345.613	    2345.613	      9.201	      0.000	      0.013
   8.200	      0.701	   2345.686	    2345.686	      9.756	      0.000	      0.015
   8.400	      0.784	   2345.766	    2345.766	     10.628	      0.000	      0.018
   8.600	      0.871	   2345.851	    2345.851	     11.214	      0.000	      0.020
   8.800	      0.963	   2345.940	    2345.940	     11.880	      0.000	      0.022
   9.000	      1.060	   2346.036	    2346.036	     12.629	      0.000	      0.025
   9.200	      1.164	   2346.136	    2346.136	     13.327	      0.000	      0.028
   9.400	      1.274	   2346.243	    2346.243	     13.966	      0.000	      0.031
   9.600	      1.387	   2346.354	    2346.354	     14.555	      0.000	      0.033
   9.800	      1.508	   2346.470	    2346.470	     15.531	      0.000	      0.038
  10.000	      1.634	   2346.593	    2346.593	     16.140	      0.000	      0.041
  10.200	      1.764	   2346.720	    2346.720	     16.601	      0.000	      0.043
  10.400	      1.900	   2346.853	    2346.853	     17.348	      0.000	      0.047
  10.600	      2.041	   2346.990	    2346.990	     18.034	      0.000	      0.051
  10.800	      2.188	   2347.133	    2347.133	     18.704	      0.000	      0.055
  11.000	      2.338	   2347.280	    2347.280	     19.163	      0.000	      0.058
  11.200	      2.492	   2347.431	    2347.431	     19.754	      0.000	      0.061
  11.400	      2.652	   2347.587	    2347.587	     20.379	      0.000	      0.065
  11.600	      2.814	   2347.747	    2347.747	     20.663	      0.000	      0.067
  11.800	      2.980	   2347.910	    2347.910	     21.224	      0.000	      0.071
  12.000	      3.151	   2348.077	    2348.077	     21.756	      0.000	      0.074
  12.200	      3.323	   2348.247	    2348.247	     22.040	      0.000	      0.076
  12.400	      3.499	   2348.420	    2348.420	     22.371	      0.000	      0.079
  12.600	      3.676	   2348.595	    2348.595	     22.654	      0.000	      0.081
  12.800	      3.857	   2348.773	    2348.773	     23.120	      0.000	      0.084
  13.000	      4.038	   2348.953	    2348.953	     23.211	      0.000	      0.085
  13.200	      4.219	   2349.134	    2349.134	     23.280	      0.000	      0.085
  13.400	      4.404	   2349.316	    2349.316	     23.662	      0.000	      0.088
  13.600	      4.588	   2349.500	    2349.500	     23.585	      0.000	      0.088
  13.800	      4.771	   2349.683	    2349.683	     23.603	      0.000	      0.088
  14.000	      4.954	   2349.867	    2349.867	     23.578	      0.000	      0.088
  14.200	      5.137	   2350.050	    2350.050	     23.564	      0.000	      0.087
  14.400	      5.320	   2350.233	    2350.233	     23.491	      0.000	      0.087
  14.600	      5.498	   2350.414	    2350.414	     23.107	      0.000	      0.084
  14.800	      5.677	   2350.593	    2350.593	     23.089	      0.000	      0.084
  15.000	      5.854	   2350.772	    2350.772	     22.802	      0.000	      0.082
  15.200	      6.025	   2350.947	    2350.947	     22.283	      0.000	      0.078
  15.400	      6.196	   2351.120	    2351.120	     21.994	      0.000	      0.076
  15.600	      6.363	   2351.289	    2351.289	     21.581	      0.000	      0.073
  15.800	      6.526	   2351.456	    2351.456	     21.186	      0.000	      0.071
  16.000	      6.685	   2351.618	    2351.618	     20.551	      0.000	      0.067
  16.200	      6.838	   2351.775	    2351.775	     19.957	      0.000	      0.063
  16.400	      6.989	   2351.929	    2351.929	     19.522	      0.000	      0.060
  16.600	      7.133	   2352.078	    2352.078	     18.655	      0.000	      0.055
  16.800	      7.271	   2352.220	    2352.220	     18.035	      0.000	      0.051
  17.000	      7.406	   2352.358	    2352.358	     17.437	      0.000	      0.048
  17.200	      7.532	   2352.489	    2352.489	     16.514	      0.000	      0.043
  17.400	      7.654	   2352.615	    2352.615	     15.679	      0.000	      0.039
  17.600	      7.767	   2352.733	    2352.733	     14.734	      0.000	      0.034
  17.800	      7.876	   2352.845	    2352.845	     14.073	      0.000	      0.031
  18.000	      7.978	   2352.951	    2352.951	     13.102	      0.000	      0.027
  18.200	      8.070	   2353.047	    2353.047	     11.959	      0.000	      0.023
  18.400	      8.157	   2353.137	    2353.137	     11.170	      0.000	      0.020
  18.600	      8.236	   2353.220	    2353.220	     10.067	      0.000	      0.016
  18.800	      8.307	   2353.294	    2353.294	      9.029	      0.000	      0.013
  19.000	      8.371	   2353.361	    2353.361	      7.975	      0.000	      0.010
  19.200	      8.426	   2353.418	    2353.418	      6.929	      0.000	      0.008
  19.400	      8.474	   2353.469	    2353.469	      5.916	      0.000	      0.006
  19.600	      8.513	   2353.510	    2353.510	      4.635	      0.000	      0.003
  19.800	      8.544	   2353.542	    2353.542	      3.684	      0.000	      0.002
  20.000	      8.568	   2353.567	    2353.567	      2.654	      0.000	      0.001
  20.200	      8.582	   2353.582	    2353.582	      1.347	      0.000	      0.000
  20.400	      8.588	   2353.588	    2353.588	      0.305	      0.000	      0.000
  20.600	      8.586	   2353.586	    2353.586	     -0.745	      0.000	     -0.000
  20.800	      8.576	   2353.576	    2353.576	     -1.819	      0.000	     -0.001
  21.000	      8.556	   2353.557	    2353.557	     -3.026	      0.000	     -0.001
  21.200	      8.526	   2353.529	    2353.529	     -4.188	      0.000	     -0.003
  21.400	      8.489	   2353.493	    2353.493	     -5.049	      0.000	     -0.004
  21.600	      8.443	   2353.449	    2353.449	     -6.236	      0.000	     -0.006
  21.800	      8.388	   2353.396	    2353.396	     -7.288	      0.000	     -0.008
  22.000	      8.325	   2353.335	    2353.335	     -8.211	      0.000	     -0.011
  22.200	      8.254	   2353.267	    2353.267	     -9.293	      0.000	     -0.013
  22.400	      8.175	   2353.191	    2353.191	    -10.280	      0.000	     -0.017
  22.600	      8.087	   2353.107	    2353.107	    -11.302	      0.000	     -0.020
  22.800	      7.994	   2353.017	    2353.017	    -12.022	      0.000	     -0.023
  23.000	      7.893	   2352.920	    2352.920	    -12.928	      0.000	     -0.026
  23.200	      7.784	   2352.815	    2352.815	    -13.945	      0.000	     -0.031
  23.400	      7.670	   2352.704	    2352.704	    -14.612	      0.000	     -0.034
  23.600	      7.550	   2352.587	    2352.587	    -15.385	      0.000	     -0.037
  23.800	      7.424	   2352.464	    2352.464	    -16.139	      0.000	     -0.041
  24.000	      7.291	   2352.336	    2352.336	    -16.853	      0.000	     -0.045
  24.200	      7.154	   2352.202	    2352.202	    -17.432	      0.000	     -0.048
  24.400	      7.013	   2352.064	    2352.064	    -18.025	      0.000	     -0.051
  24.600	      6.865	   2351.921	    2351.921	    -18.773	      0.000	     -0.055
  24.800	      6.715	   2351.773	    2351.773	    -19.202	      0.000	     -0.058
  25.000	      6.562	   2351.622	    2351.622	    -19.569	      0.000	     -0.060
  25.200	      6.404	   2351.467	    2351.467	    -20.121	      0.000	     -0.064
  25.400	      6.243	   2351.309	    2351.309	    -20.535	      0.000	     -0.066
  25.600	      6.079	   2351.148	    2351.148	    -20.867	      0.000	     -0.068
  25.800	      5.915	   2350.985	    2350.985	    -21.093	      0.000	     -0.070
  26.000	      5.747	   2350.819	    2350.819	    -21.463	      0.000	     -0.072
  26.200	      5.576	   2350.651	    2350.651	    -21.746	      0.000	     -0.074
  26.400	      5.407	   2350.482	    2350.482	    -21.753	      0.000	     -0.074
  26.600	      5.236	   2350.312	    2350.312	    -21.986	      0.000	     -0.076
  26.800	      5.063	   2350.140	    2350.140	    -22.084	      0.000	     -0.077
  27.000	      4.891	   2349.968	    2349.968	    -22.090	      0.000	     -0.077
  27.200	      4.719	   2349.796	    2349.796	    -22.100	      0.000	     -0.077
  27.400	      4.547	   2349.624	    2349.624	    -22.113	      0.000	     -0.077
  27.600	      4.375	   2349.452	    2349.452	    -22.145	      0.000	     -0.077
  27.800	      4.205	   2349.281	    2349.281	    -21.829	      0.000	     -0.075
  28.000	      4.036	   2349.111	    2349.111	    -21.782	      0.000	     -0.075
  28.200	      3.866	   2348.941	    2348.941	    -21.785	      0.000	     -0.075
  28.400	      3.700	   2348.773	    2348.773	    -21.527	      0.000	     -0.073
  28.600	      3.535	   2348.606	    2348.606	    -21.284	      0.000	     -0.071
  28.800	      3.372	   2348.441	    2348.441	    -21.009	      0.000	     -0.069
  29.000	      3.210	   2348.278	    2348.278	    -20.862	      0.000	     -0.069
  29.200	      3.050	   2348.117	    2348.117	    -20.563	      0.000	     -0.067
  29.400	      2.894	   2347.958	    2347.958	    -20.215	      0.000	     -0.064
  29.600	      2.738	   2347.802	    2347.802	    -20.076	      0.000	     -0.063
  29.800	      2.586	   2347.647	    2347.647	    -19.666	      0.000	     -0.061
  30.000	      2.437	   2347.496	    2347.496	    -19.267	      0.000	     -0.058
  30.200	      2.290	   2347.347	    2347.347	    -19.012	      0.000	     -0.057
  30.400	      2.145	   2347.200	    2347.200	    -18.676	      0.000	     -0.055
  30.600	      2.003	   2347.056	    2347.056	    -18.345	      0.000	     -0.053
  30.800	      1.865	   2346.915	    2346.915	    -17.836	      0.000	     -0.050
  31.000	      1.729	   2346.778	    2346.778	    -17.583	      0.000	     -0.049
  31.200	      1.594	   2346.642	    2346.642	    -17.275	      0.000	     -0.047
  31.400	      1.465	   2346.509	    2346.509	    -16.689	      0.000	     -0.044
  31.600	      1.338	   2346.380	    2346.380	    -16.440	      0.000	     -0.043
  31.800	      1.213	   2346.254	    2346.254	    -16.056	      0.000	     -0.041
  32.000	      1.092	   2346.130	    2346.130	    -15.683	      0.000	     -0.039
  32.200	      0.973	   2346.010	    2346.010	    -15.261	      0.000	     -0.037
  32.400	      0.858	   2345.893	    2345.893	    -14.866	      0.000	     -0.035
  32.600	      0.744	   2345.777	    2345.777	    -14.661	      0.000	     -0.034
  32.800	      0.634	   2345.665	    2345.665	    -14.140	      0.000	     -0.031
  33.000	      0.527	   2345.557	    2345.557	    -13.814	      0.000	     -0.030
  33.200	      0.421	   2345.450	    2345.450	    -13.613	      0.000	     -0.029
  33.400	      0.318	   2345.346	    2345.346	    -13.206	      0.000	     -0.027
  33.600	      0.218	   2345.244	    2345.244	    -12.882	      0.000	     -0.026
  33.800	      0.121	   2345.146	    2345.146	    -12.513	      0.000	     -0.025
  34.000	      0.025	   2345.049	    2345.049	    -12.312	      0.000	     -0.024
  34.200	     -0.069	   2344.954	    2344.954	    -12.044	      0.000	     -0.023
  34.400	     -0.160	   2344.862	    2344.862	    -11.660	      0.000	     -0.021
  34.600	     -0.250	   2344.771	    2344.771	    -11.579	      0.000	     -0.021
  34.800	     -0.338	   2344.682	    2344.682	    -11.275	      0.000	     -0.020
  35.000	     -0.423	   2344.596	    2344.596	    -10.958	      0.000	     -0.019
  35.200	     -0.508	   2344.510	    2344.510	    -10.878	      0.000	     -0.019
