  1	  2	  3	  4	  5	  6	  7	  8	  9	 10	 11	 12	 13	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
    0.00	     2807.00	     2807.00
   10.77	     2807.29	     2806.65
   21.55	     2807.48	     2806.44
   32.32	     2807.67	     2806.23
   43.10	     2807.86	     2806.01
   53.87	     2808.04	     2805.80
   64.65	     2808.24	     2805.59
   75.42	     2808.40	     2805.37
   86.20	     2808.56	     2805.17
   96.97	     2808.73	     2804.97
  107.75	     2808.89	     2804.77
  118.53	     2809.06	     2804.57
  129.30	     2809.22	     2804.37
  140.08	     2809.30	     2804.32
  151.08	     2809.91	     2803.68
  162.09	     2810.10	     2803.38
  173.09	     2810.46	     2803.08
  184.10	     2810.61	     2802.78
  195.11	     2810.96	     2802.47
  206.11	     2811.12	     2802.17
  217.12	     2811.47	     2801.87
  228.13	     2811.63	     2801.57
  239.13	     2811.97	     2801.26
  250.14	     2812.14	     2800.96
  261.15	     2812.50	     2800.66
  272.15	     2812.67	     2800.35
  283.16	     2813.03	     2800.05
  294.17	     2813.20	     2799.75
  305.17	     2813.55	     2799.45
  316.18	     2813.73	     2799.15
  327.19	     2814.08	     2798.84
  338.19	     2814.27	     2798.54
  349.20	     2814.61	     2798.24
  360.21	     2814.80	     2797.93
  371.21	     2815.13	     2797.63
  382.22	     2815.34	     2797.33
  393.23	     2815.66	     2797.02
  404.23	     2815.88	     2796.71
  415.24	     2816.19	     2796.41
  426.25	     2816.42	     2796.10
  437.25	     2816.71	     2795.80
  448.26	     2816.96	     2795.51
  459.27	     2817.24	     2795.20
  470.27	     2817.49	     2794.90
  481.28	     2817.77	     2794.59
  492.29	     2818.03	     2794.28
  503.29	     2818.29	     2793.98
  514.30	     2818.56	     2793.68
  525.31	     2818.82	     2793.38
  536.31	     2819.10	     2793.07
  547.32	     2819.35	     2792.77
  558.33	     2819.63	     2792.47
  569.33	     2819.88	     2792.16
  580.34	     2820.16	     2791.85
  591.34	     2820.40	     2791.55
  602.35	     2820.70	     2791.24
  613.36	     2820.93	     2790.93
  624.36	     2821.22	     2790.62
  635.37	     2821.45	     2790.31
  646.38	     2821.75	     2790.00
  657.38	     2821.98	     2789.70
  668.39	     2822.28	     2789.39
  679.40	     2822.51	     2789.08
  690.40	     2822.81	     2788.77
  701.41	     2823.03	     2788.46
  712.42	     2823.34	     2788.16
  723.42	     2823.56	     2787.85
  734.43	     2823.86	     2787.54
  745.44	     2824.08	     2787.23
  756.44	     2824.38	     2786.92
  767.45	     2824.60	     2786.62
  778.46	     2824.90	     2786.31
  789.46	     2825.12	     2786.01
  800.47	     2825.43	     2785.70
  811.48	     2825.64	     2785.33
  822.48	     2825.94	     2784.99
  833.49	     2826.06	     2784.69
  844.50	     2826.46	     2784.39
  855.50	     2826.58	     2784.09
  866.51	     2826.98	     2783.79
  877.52	     2827.09	     2783.50
  888.52	     2827.49	     2783.20
  899.53	     2827.60	     2782.91
  910.54	     2828.00	     2782.61
  921.54	     2828.12	     2782.32
  932.55	     2828.51	     2782.02
  943.56	     2828.63	     2781.73
  954.56	     2829.01	     2781.43
  965.57	     2829.14	     2781.13
  976.58	     2829.52	     2780.84
  987.58	     2829.65	     2780.56
  998.59	     2830.01	     2780.26
 1009.59	     2830.16	     2779.96
 1020.60	     2830.52	     2779.67
 1031.61	     2830.67	     2779.38
 1042.61	     2831.02	     2779.08
 1053.62	     2831.18	     2778.78
 1064.63	     2831.52	     2778.50
 1075.63	     2831.69	     2778.20
 1086.64	     2832.02	     2777.90
 1097.65	     2832.20	     2777.61
 1108.65	     2832.52	     2777.32
 1119.66	     2832.71	     2777.02
 1130.67	     2833.03	     2776.73
 1141.67	     2833.22	     2776.43
 1152.68	     2833.53	     2776.13
 1163.69	     2833.73	     2775.84
 1174.69	     2834.02	     2775.54
 1185.70	     2834.25	     2775.25
 1196.71	     2834.53	     2774.95
 1207.71	     2834.76	     2774.66
 1218.72	     2835.02	     2774.36
 1229.73	     2835.28	     2774.07
 1240.73	     2835.51	     2773.77
 1251.74	     2835.80	     2773.47
 1262.75	     2836.02	     2773.17
 1273.75	     2836.32	     2772.88
 1284.76	     2836.52	     2772.59
 1295.77	     2836.83	     2772.29
 1306.77	     2837.03	     2771.98
 1317.78	     2837.35	     2771.69
 1328.79	     2837.53	     2771.39
 1339.79	     2837.86	     2771.09
 1350.80	     2838.03	     2770.79
 1361.81	     2838.37	     2770.49
 1372.81	     2838.53	     2770.20
 1383.82	     2838.88	     2769.90
 1394.83	     2839.05	     2769.59
 1405.83	     2839.40	     2769.29
 1416.84	     2839.55	     2768.99
 1427.85	     2839.92	     2768.69
 1438.85	     2840.06	     2768.40
 1449.86	     2840.43	     2768.10
 1460.86	     2840.58	     2767.79
 1471.87	     2840.89	     2767.49
 1482.88	     2840.92	     2767.70
 1493.54	     2936.34	     2738.40
 1504.21	     2848.75	     2768.01
 1514.88	     2936.57	     2736.95
 1526.03	     2858.43	     2768.41
 1537.17	     2936.43	     2736.06
 1548.32	     2861.54	     2768.79
 1559.47	     2935.46	     2734.82
 1570.61	     2867.33	     2769.25
 1581.76	     2933.55	     2735.18
 1592.91	     2873.46	     2769.65
 1604.06	     2931.74	     2734.54
 1615.20	     2879.84	     2770.11
 1626.35	     2929.79	     2734.82
 1637.50	     2885.65	     2770.44
 1648.65	     2927.73	     2736.46
 1659.79	     2891.56	     2770.81
 1670.94	     2925.01	     2737.58
 1682.09	     2897.18	     2770.82
 1693.24	     2921.70	     2739.21
 1704.38	     2902.68	     2770.73
 1715.53	     2918.26	     2742.38
 1726.68	     2908.29	     2770.70
 1737.82	     2915.22	     2745.83
 1748.97	     2913.13	     2769.33
 1760.12	     2912.83	     2749.69
 1771.27	     2918.25	     2766.13
 1782.41	     2910.50	     2753.15
 1793.56	     2922.38	     2763.07
