  1	  2	  3	  4	  5	  6	  7	  8	  9	 10	 11	 12	 13	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
    0.00	     2780.00	     2780.00
   10.77	     2780.31	     2779.61
   21.55	     2780.47	     2779.40
   32.32	     2780.64	     2779.19
   43.10	     2780.80	     2778.98
   53.87	     2780.97	     2778.77
   64.65	     2781.14	     2778.56
   75.42	     2781.27	     2778.34
   86.20	     2781.41	     2778.15
   96.97	     2781.54	     2777.95
  107.75	     2781.67	     2777.76
  118.53	     2781.81	     2777.56
  129.30	     2781.94	     2777.37
  140.08	     2781.96	     2777.36
  151.08	     2782.71	     2776.58
  162.09	     2782.92	     2776.30
  173.09	     2783.11	     2776.05
  184.10	     2783.32	     2775.78
  195.11	     2783.52	     2775.51
  206.11	     2783.73	     2775.23
  217.12	     2783.92	     2774.97
  228.13	     2784.14	     2774.70
  239.13	     2784.33	     2774.44
  250.14	     2784.53	     2774.18
  261.15	     2784.73	     2773.91
  272.15	     2784.94	     2773.64
  283.16	     2785.14	     2773.38
  294.17	     2785.34	     2773.10
  305.17	     2785.54	     2772.83
  316.18	     2785.75	     2772.56
  327.19	     2785.95	     2772.30
  338.19	     2786.14	     2772.02
  349.20	     2786.34	     2771.74
  360.21	     2786.55	     2771.47
  371.21	     2786.74	     2771.19
  382.22	     2786.93	     2770.92
  393.23	     2787.13	     2770.64
  404.23	     2787.33	     2770.36
  415.24	     2787.52	     2770.08
  426.25	     2787.72	     2769.80
  437.25	     2787.92	     2769.52
  448.26	     2788.13	     2769.23
  459.27	     2788.32	     2768.96
  470.27	     2788.51	     2768.67
  481.28	     2788.71	     2768.37
  492.29	     2788.91	     2768.09
  503.29	     2789.10	     2767.82
  514.30	     2789.28	     2767.53
  525.31	     2789.48	     2767.23
  536.31	     2789.68	     2766.95
  547.32	     2789.86	     2766.66
  558.33	     2790.05	     2766.37
  569.33	     2790.27	     2766.08
  580.34	     2790.45	     2765.79
  591.34	     2790.62	     2765.51
  602.35	     2790.83	     2765.22
  613.36	     2791.05	     2764.93
  624.36	     2791.21	     2764.65
  635.37	     2791.40	     2764.36
  646.38	     2791.58	     2764.07
  657.38	     2791.78	     2763.78
  668.39	     2791.97	     2763.50
  679.40	     2792.15	     2763.21
  690.40	     2792.33	     2762.92
  701.41	     2792.53	     2762.64
  712.42	     2792.72	     2762.36
  723.42	     2792.90	     2762.10
  734.43	     2793.09	     2761.83
  745.44	     2793.29	     2761.55
  756.44	     2793.48	     2761.28
  767.45	     2793.66	     2761.02
  778.46	     2793.84	     2760.76
  789.46	     2794.03	     2760.48
  800.47	     2794.22	     2760.21
  811.48	     2794.38	     2759.95
  822.48	     2794.49	     2759.68
  833.49	     2794.68	     2759.41
  844.50	     2794.86	     2759.14
  855.50	     2795.05	     2758.87
  866.51	     2795.25	     2758.60
  877.52	     2795.44	     2758.32
  888.52	     2795.62	     2758.03
  899.53	     2795.80	     2757.76
  910.54	     2795.99	     2757.52
  921.54	     2796.17	     2757.26
  932.55	     2796.35	     2756.98
  943.56	     2796.52	     2756.71
  954.56	     2796.68	     2756.46
  965.57	     2796.86	     2756.19
  976.58	     2797.03	     2755.92
  987.58	     2797.19	     2755.66
  998.59	     2797.36	     2755.39
 1009.59	     2797.53	     2755.08
 1020.60	     2797.70	     2754.85
 1031.61	     2797.88	     2754.60
 1042.61	     2798.06	     2754.32
 1053.62	     2798.22	     2754.03
 1064.63	     2798.40	     2753.79
 1075.63	     2798.57	     2753.52
 1086.64	     2798.74	     2753.25
 1097.65	     2798.92	     2752.98
 1108.65	     2799.09	     2752.73
 1119.66	     2799.27	     2752.46
 1130.67	     2799.46	     2752.20
 1141.67	     2799.63	     2751.93
 1152.68	     2799.80	     2751.68
 1163.69	     2799.99	     2751.41
 1174.69	     2800.17	     2751.15
