 机组号	 蜗壳最大压力	   时间	 尾水管最小压力	   时间	  最大转速升高率	   时间	 尾水管最大压力	   时间
  J 10	        559.91	    89.27	          79.37	    0.03	         -77.43	    25.32	         139.75	    7.05
  J 18	        559.91	    89.27	          79.37	    0.03	         -77.43	    25.32	         139.75	    7.05
 调压室号	   最高涌浪	   时间	       最低涌浪	   时间	   向下最大压差	    时间	   向上最大压差	    时间
  J  2	       2781.96	    92.00	        2777.36	   31.86	           0.01	    12.58	           0.01	    37.85
  J  3	       2805.06	    87.89	        2744.72	   29.62	           2.27	     9.46	           1.23	    58.03
  J 12	       2391.85	    20.75	        2358.66	   52.73	           1.17	    35.75	           1.05	     9.89
  J 13	       2382.84	    20.51	        2367.55	   52.81	           0.08	    27.52	           0.08	    14.27
  J 20	       2391.85	    20.75	        2358.66	   52.73	           1.17	    35.75	           1.05	     9.89
  J 21	       2382.84	    20.51	        2367.55	   52.81	           0.08	    27.52	           0.08	    14.27
   球阀号	上游侧最大压力值	   时间	下游侧最大压力值	   时间	上游侧最小压力值	   时间	下游侧最小压力值	   时间
  J  8	        460.26	    89.30	         460.26	    89.30	        226.56	     7.66	        226.56	     7.66
  J 16	        460.26	    89.30	         460.26	    89.30	        226.56	     7.66	        226.56	     7.66
