  管道号	    流量	始端压力	末端压力
  L  1	-145.1353	 405.5000	 405.8331
  L  2	-145.1353	 405.8331	 407.4139
  L  3	-145.1353	 407.4139	 407.4598
  L  4	-145.1353	 407.4598	 408.2865
  L  5	-145.1353	 408.2865	 411.4160
  L  6	 -72.5678	 411.4160	 414.5157
  L  7	 -72.5678	 414.5157	 415.7897
  L  8	 -72.5678	 415.7897	 416.2684
  L  9	 -72.5678	 416.2684	 416.2684
  L 10	 -72.5678	  -0.7173	  -0.7173
  L 11	 -72.5678	  -0.7173	  -0.4365
  L 12	 -72.5678	  -0.4365	  -0.1127
  L 13	 -72.5678	  -0.1127	   0.0000
  L 14	 -72.5678	 411.4160	 414.5157
  L 15	 -72.5678	 414.5157	 415.7897
  L 16	 -72.5678	 415.7897	 416.2684
  L 17	 -72.5678	 416.2684	 416.2684
  L 18	 -72.5678	  -0.7173	  -0.7173
  L 19	 -72.5678	  -0.7173	  -0.4365
  L 20	 -72.5678	  -0.4365	  -0.1127
  L 21	 -72.5678	  -0.1127	   0.0000
