    时间	    开度值	      蜗壳压力	      尾水管压力	    流量	      转速	      出力	  单位转速	  单位流量	  单位力矩	球阀前压力	球阀后压力	蜗壳进口压力	尾水管出口压力
   0.000	   0.600	       534.467	        56.638	   -61.829	  -428.600	  -319.714	   -83.040	    -0.162	    20.856	469.469574	469.817059	534.467365	2323.458992
   0.200	   0.600	       523.343	        61.671	   -60.948	  -419.974	  -301.695	   -83.164	    -0.163	    20.981	455.444630	455.444630	525.623210	2327.097080
   0.400	   0.596	       510.965	        67.374	   -59.718	  -411.682	  -284.088	   -83.166	    -0.163	    20.976	443.567137	443.567137	513.568969	2332.163007
   0.600	   0.592	       499.960	        73.340	   -58.524	  -403.714	  -267.826	   -83.162	    -0.163	    20.967	432.413289	432.413289	502.436481	2337.774445
   0.800	   0.588	       489.261	        78.598	   -57.369	  -396.052	  -252.791	   -83.151	    -0.163	    20.956	421.594309	421.594309	491.597288	2342.816514
   1.000	   0.584	       474.801	        78.330	   -55.902	  -388.686	  -238.013	   -83.035	    -0.161	    20.815	407.444278	407.444278	477.377000	2341.909529
   1.200	   0.580	       458.658	        75.008	   -54.324	  -381.623	  -224.061	   -82.851	    -0.159	    20.612	392.277963	392.277963	462.199246	2338.033911
   1.400	   0.576	       444.338	        72.212	   -52.652	  -374.856	  -210.927	   -82.600	    -0.157	    20.349	377.765755	377.765755	447.587767	2334.684360
   1.600	   0.573	       430.559	        69.339	   -51.134	  -368.363	  -199.042	   -82.357	    -0.154	    20.117	363.836580	363.836580	433.672925	2331.192824
   1.800	   0.569	       420.392	        69.819	   -49.834	  -362.122	  -188.303	   -82.161	    -0.153	    19.938	353.633529	353.633529	423.799095	2331.946907
   2.000	   0.565	       413.108	        72.862	   -48.648	  -356.110	  -178.459	   -81.997	    -0.151	    19.790	345.638557	345.638557	415.392237	2333.964504
   2.200	   0.561	       405.010	        74.644	   -47.439	  -350.316	  -169.235	   -81.841	    -0.150	    19.638	337.630277	337.630277	407.296882	2335.471048
   2.400	   0.557	       397.991	        77.028	   -46.257	  -344.731	  -160.577	   -81.688	    -0.148	    19.481	330.431426	330.431426	400.136546	2337.644897
   2.600	   0.553	       389.039	        76.574	   -44.909	  -339.349	  -152.105	   -81.471	    -0.146	    19.243	323.845835	323.845835	392.586411	2337.203959
   2.800	   0.549	       389.077	        82.717	   -42.265	  -334.210	  -141.745	   -80.951	    -0.138	    18.533	325.901025	325.901025	394.133570	2340.704247
   3.000	   0.545	       388.713	        89.210	   -39.401	  -329.364	  -131.462	   -80.600	    -0.130	    17.803	325.374698	325.374698	393.476755	2346.445542
   3.200	   0.541	       387.274	        95.367	   -36.466	  -324.810	  -121.698	   -80.432	    -0.122	    17.112	323.890579	323.890579	392.002093	2351.840802
   3.400	   0.537	       385.986	       102.120	   -33.779	  -320.525	  -113.387	   -80.417	    -0.114	    16.586	321.677710	321.677710	388.130407	2358.921869
   3.600	   0.533	       379.541	       103.123	   -30.346	  -316.496	  -104.588	   -80.380	    -0.104	    15.876	316.914819	316.914819	384.803315	2357.646328
   3.800	   0.529	       372.875	       100.721	   -26.777	  -312.733	   -96.127	   -79.955	    -0.092	    14.965	311.962195	311.962195	379.018944	2355.117215
   4.000	   0.525	       370.842	        97.984	   -23.406	  -309.273	   -86.586	   -78.889	    -0.081	    13.568	308.422510	308.422510	376.231399	2352.240523
   4.200	   0.522	       366.046	        94.660	   -20.168	  -306.142	   -77.191	   -78.238	    -0.070	    12.266	302.315587	302.315587	370.621807	2348.854684
   4.400	   0.518	       359.548	        92.814	   -17.501	  -303.309	   -69.526	   -78.143	    -0.061	    11.333	295.174942	295.174942	363.234759	2347.017285
   4.600	   0.514	       353.318	        92.064	   -14.935	  -300.738	   -62.545	   -78.252	    -0.052	    10.488	288.377624	288.377624	357.042643	2345.227875
   4.800	   0.510	       347.854	        91.741	   -12.379	  -298.412	   -56.096	   -78.390	    -0.044	     9.662	283.726437	283.726437	352.097956	2345.114813
   5.000	   0.506	       343.958	        92.348	    -9.985	  -296.304	   -50.425	   -78.505	    -0.036	     8.898	279.650565	279.650565	347.483506	2345.495835
   5.200	   0.502	       340.262	        92.200	    -7.760	  -294.401	   -45.184	   -78.537	    -0.028	     8.135	276.956956	276.956956	345.523863	2345.571681
   5.400	   0.498	       340.643	        96.890	    -4.892	  -292.706	   -39.202	   -78.754	    -0.018	     7.221	278.222877	278.222877	346.121115	2348.797474
