  1	  2	  3	  4	  5	 14	 15	 16	 17	 18	 19	 20	 21	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
    0.00	     2807.00	     2807.00
   10.77	     2807.27	     2806.70
   21.55	     2807.42	     2806.53
   32.32	     2807.57	     2806.36
   43.10	     2807.73	     2806.20
   53.87	     2807.88	     2806.03
   64.65	     2808.04	     2805.87
   75.42	     2808.17	     2805.70
   86.20	     2808.30	     2805.55
   96.97	     2808.43	     2805.39
  107.75	     2808.55	     2805.24
  118.53	     2808.68	     2805.08
  129.30	     2808.82	     2804.93
  140.08	     2808.84	     2804.92
  151.08	     2809.45	     2804.35
  162.09	     2809.62	     2804.12
  173.09	     2809.82	     2803.89
  184.10	     2810.05	     2803.67
  195.11	     2810.23	     2803.45
  206.11	     2810.43	     2803.20
  217.12	     2810.65	     2802.98
  228.13	     2810.87	     2802.75
  239.13	     2811.04	     2802.53
  250.14	     2811.24	     2802.32
  261.15	     2811.42	     2802.09
  272.15	     2811.64	     2801.86
  283.16	     2811.85	     2801.60
  294.17	     2812.06	     2801.37
  305.17	     2812.26	     2801.15
  316.18	     2812.45	     2800.93
  327.19	     2812.65	     2800.70
  338.19	     2812.86	     2800.45
  349.20	     2813.06	     2800.24
  360.21	     2813.25	     2800.02
  371.21	     2813.46	     2799.78
  382.22	     2813.66	     2799.54
  393.23	     2813.86	     2799.30
  404.23	     2814.06	     2799.07
  415.24	     2814.26	     2798.84
  426.25	     2814.47	     2798.61
  437.25	     2814.67	     2798.37
  448.26	     2814.86	     2798.13
  459.27	     2815.06	     2797.92
  470.27	     2815.27	     2797.67
  481.28	     2815.46	     2797.46
  492.29	     2815.67	     2797.24
  503.29	     2815.89	     2797.01
  514.30	     2816.09	     2796.77
  525.31	     2816.29	     2796.49
  536.31	     2816.51	     2796.21
  547.32	     2816.67	     2796.02
  558.33	     2816.86	     2795.82
  569.33	     2817.09	     2795.58
  580.34	     2817.33	     2795.32
  591.34	     2817.53	     2795.09
  602.35	     2817.72	     2794.84
  613.36	     2817.88	     2794.61
  624.36	     2818.08	     2794.38
  635.37	     2818.33	     2794.15
  646.38	     2818.54	     2793.92
  657.38	     2818.73	     2793.67
  668.39	     2818.96	     2793.42
  679.40	     2819.24	     2793.19
  690.40	     2819.36	     2792.97
  701.41	     2819.55	     2792.72
  712.42	     2819.75	     2792.47
  723.42	     2819.97	     2792.23
  734.43	     2820.17	     2791.98
  745.44	     2820.38	     2791.75
  756.44	     2820.59	     2791.51
  767.45	     2820.80	     2791.25
  778.46	     2821.01	     2791.01
  789.46	     2821.21	     2790.78
  800.47	     2821.41	     2790.55
  811.48	     2821.62	     2790.27
  822.48	     2821.72	     2790.01
  833.49	     2821.90	     2789.78
  844.50	     2822.11	     2789.54
  855.50	     2822.31	     2789.31
  866.51	     2822.49	     2789.09
  877.52	     2822.66	     2788.87
  888.52	     2822.86	     2788.64
  899.53	     2823.06	     2788.38
  910.54	     2823.23	     2788.17
  921.54	     2823.41	     2787.96
  932.55	     2823.61	     2787.69
  943.56	     2823.79	     2787.39
  954.56	     2823.98	     2787.24
  965.57	     2824.19	     2787.06
  976.58	     2824.39	     2786.81
  987.58	     2824.58	     2786.59
  998.59	     2824.77	     2786.42
 1009.59	     2824.96	     2786.19
 1020.60	     2825.15	     2785.91
 1031.61	     2825.38	     2785.66
 1042.61	     2825.52	     2785.42
 1053.62	     2825.72	     2785.24
 1064.63	     2825.91	     2785.05
 1075.63	     2826.10	     2784.81
 1086.64	     2826.30	     2784.53
 1097.65	     2826.50	     2784.31
 1108.65	     2826.68	     2784.10
 1119.66	     2826.87	     2783.86
 1130.67	     2827.08	     2783.64
 1141.67	     2827.28	     2783.43
