 机组号	 蜗壳最大压力	   时间	 尾水管最小压力	   时间	  最大转速升高率	   时间	 尾水管最大压力	   时间
  J 10	        608.27	    89.10	          50.64	   51.48	         -23.00	    28.71	         111.17	    7.51
  J 18	        608.27	    89.10	          50.64	   51.48	         -23.00	    28.71	         111.17	    7.51
 调压室号	   最高涌浪	   时间	       最低涌浪	   时间	   向下最大压差	    时间	   向上最大压差	    时间
  J  2	       2808.84	    91.74	        2804.92	   32.64	           0.01	    12.24	           0.00	    55.01
  J  3	       2833.18	    87.58	        2776.81	   28.72	           2.28	     8.80	           1.41	    54.04
  J 12	       2363.11	    20.71	        2326.87	   51.94	           1.50	    34.20	           1.14	     9.84
  J 13	       2353.67	    20.44	        2337.53	   52.17	           0.08	    27.52	           0.09	    13.49
  J 20	       2363.11	    20.71	        2326.87	   51.94	           1.50	    34.20	           1.14	     9.84
  J 21	       2353.67	    20.44	        2337.53	   52.17	           0.08	    27.52	           0.09	    13.49
   球阀号	上游侧最大压力值	   时间	下游侧最大压力值	   时间	上游侧最小压力值	   时间	下游侧最小压力值	   时间
  J  8	        538.13	    89.10	         538.13	    89.10	        249.37	     7.54	        249.37	     7.54
  J 16	        538.13	    89.10	         538.13	    89.10	        249.37	     7.54	        249.37	     7.54
