    时间	    汇点水头	    大井水位	    升管水位	    大井流量	    升管流量	    底板压差
   0.000	     -0.317	   2344.683	    2344.683	      0.000	      0.000	      0.000
   0.200	     -0.317	   2344.683	    2344.683	     -0.138	      0.000	     -0.000
   0.400	     -0.318	   2344.682	    2344.682	     -0.056	      0.000	     -0.000
   0.600	     -0.315	   2344.685	    2344.685	      1.756	      0.000	      0.000
   0.800	     -0.302	   2344.696	    2344.696	      4.090	      0.000	      0.002
   1.000	     -0.278	   2344.716	    2344.716	      6.562	      0.000	      0.006
   1.200	     -0.242	   2344.746	    2344.746	      9.091	      0.000	      0.012
   1.400	     -0.202	   2344.782	    2344.782	     10.208	      0.000	      0.015
   1.600	     -0.162	   2344.822	    2344.822	     10.693	      0.000	      0.017
   1.800	     -0.117	   2344.864	    2344.864	     11.512	      0.000	      0.020
   2.000	     -0.068	   2344.909	    2344.909	     12.297	      0.000	      0.023
   2.200	     -0.014	   2344.958	    2344.958	     13.543	      0.000	      0.027
   2.400	      0.047	   2345.013	    2345.013	     15.238	      0.000	      0.034
   2.600	      0.116	   2345.073	    2345.073	     16.857	      0.000	      0.042
   2.800	      0.191	   2345.140	    2345.140	     18.445	      0.000	      0.051
   3.000	      0.268	   2345.212	    2345.212	     19.193	      0.000	      0.055
   3.200	      0.370	   2345.292	    2345.292	     22.933	      0.000	      0.078
   3.400	      0.497	   2345.387	    2345.387	     27.169	      0.000	      0.109
   3.600	      0.642	   2345.498	    2345.498	     31.215	      0.000	      0.144
   3.800	      0.806	   2345.624	    2345.624	     34.997	      0.000	      0.182
   4.000	      0.980	   2345.762	    2345.762	     38.359	      0.000	      0.218
   4.200	      1.162	   2345.913	    2345.913	     40.991	      0.000	      0.250
   4.400	      1.351	   2346.073	    2346.073	     43.231	      0.000	      0.278
   4.600	      1.547	   2346.240	    2346.240	     45.410	      0.000	      0.306
   4.800	      1.751	   2346.416	    2346.416	     47.311	      0.000	      0.335
   5.000	      1.959	   2346.599	    2346.599	     49.266	      0.000	      0.361
   5.200	      2.180	   2346.789	    2346.789	     51.224	      0.000	      0.391
   5.400	      2.411	   2346.987	    2346.987	     53.321	      0.000	      0.424
   5.600	      2.647	   2347.193	    2347.193	     55.312	      0.000	      0.454
   5.800	      2.915	   2347.408	    2347.408	     58.357	      0.000	      0.506
   6.000	      3.204	   2347.636	    2347.636	     61.838	      0.000	      0.569
   6.200	      3.520	   2347.877	    2347.877	     65.751	      0.000	      0.643
   6.400	      3.820	   2348.132	    2348.132	     67.978	      0.000	      0.688
   6.600	      4.165	   2348.398	    2348.398	     71.901	      0.000	      0.766
   6.800	      4.514	   2348.676	    2348.676	     75.035	      0.000	      0.837
   7.000	      4.827	   2348.963	    2348.963	     76.457	      0.000	      0.864
   7.200	      5.170	   2349.256	    2349.256	     78.287	      0.000	      0.914
   7.400	      5.485	   2349.556	    2349.556	     78.852	      0.000	      0.929
   7.600	      5.803	   2349.855	    2349.855	     79.857	      0.000	      0.948
   7.800	      6.135	   2350.160	    2350.160	     80.916	      0.000	      0.976
   8.000	      6.486	   2350.467	    2350.467	     84.286	      0.000	      1.018
   8.200	      6.764	   2350.775	    2350.775	     81.399	      0.000	      0.989
   8.400	      7.098	   2351.085	    2351.085	     82.370	      0.000	      1.013
   8.600	      7.425	   2351.399	    2351.399	     83.012	      0.000	      1.026
   8.800	      7.766	   2351.714	    2351.714	     84.147	      0.000	      1.052
   9.000	      8.082	   2352.032	    2352.032	     83.975	      0.000	      1.050
   9.200	      8.426	   2352.352	    2352.352	     84.866	      0.000	      1.074
   9.400	      8.761	   2352.675	    2352.675	     85.384	      0.000	      1.087
   9.600	      9.067	   2352.998	    2352.998	     84.503	      0.000	      1.069
   9.800	      9.403	   2353.322	    2353.322	     85.069	      0.000	      1.081
  10.000	      9.716	   2353.645	    2353.645	     84.727	      0.000	      1.071
  10.200	     10.012	   2353.964	    2353.964	     83.821	      0.000	      1.049
  10.400	     10.304	   2354.279	    2354.279	     82.767	      0.000	      1.026
  10.600	     10.572	   2354.592	    2354.592	     80.721	      0.000	      0.981
  10.800	     10.865	   2354.899	    2354.899	     80.482	      0.000	      0.966
  11.000	     11.141	   2355.202	    2355.202	     79.299	      0.000	      0.938
  11.200	     11.403	   2355.501	    2355.501	     77.477	      0.000	      0.902
  11.400	     11.694	   2355.793	    2355.793	     78.539	      0.000	      0.900
  11.600	     11.931	   2356.082	    2356.082	     75.413	      0.000	      0.849
  11.800	     12.190	   2356.365	    2356.365	     74.331	      0.000	      0.825
  12.000	     12.452	   2356.645	    2356.645	     73.454	      0.000	      0.807
  12.200	     12.685	   2356.922	    2356.922	     70.829	      0.000	      0.763
  12.400	     12.960	   2357.194	    2357.194	     71.757	      0.000	      0.766
  12.600	     13.200	   2357.463	    2357.463	     70.282	      0.000	      0.737
  12.800	     13.429	   2357.726	    2357.726	     68.436	      0.000	      0.703
  13.000	     13.662	   2357.983	    2357.983	     67.897	      0.000	      0.679
  13.200	     13.875	   2358.235	    2358.235	     65.058	      0.000	      0.639
  13.400	     14.096	   2358.482	    2358.482	     64.239	      0.000	      0.615
  13.600	     14.310	   2358.722	    2358.722	     62.657	      0.000	      0.588
  13.800	     14.511	   2358.957	    2358.957	     60.830	      0.000	      0.554
  14.000	     14.714	   2359.185	    2359.185	     59.591	      0.000	      0.529
  14.200	     14.908	   2359.408	    2359.408	     57.864	      0.000	      0.500
  14.400	     15.094	   2359.624	    2359.624	     55.953	      0.000	      0.470
  14.600	     15.272	   2359.833	    2359.833	     54.287	      0.000	      0.439
  14.800	     15.460	   2360.036	    2360.036	     53.335	      0.000	      0.424
  15.000	     15.627	   2360.233	    2360.233	     51.438	      0.000	      0.394
  15.200	     15.788	   2360.424	    2360.424	     49.248	      0.000	      0.364
  15.400	     15.949	   2360.608	    2360.608	     47.780	      0.000	      0.341
  15.600	     16.104	   2360.786	    2360.786	     46.020	      0.000	      0.318
  15.800	     16.252	   2360.957	    2360.957	     44.385	      0.000	      0.295
  16.000	     16.391	   2361.122	    2361.122	     42.437	      0.000	      0.270
  16.200	     16.528	   2361.280	    2361.280	     40.524	      0.000	      0.248
  16.400	     16.672	   2361.433	    2361.433	     39.959	      0.000	      0.238
  16.600	     16.797	   2361.581	    2361.581	     37.827	      0.000	      0.216
  16.800	     16.922	   2361.723	    2361.723	     36.569	      0.000	      0.200
  17.000	     17.044	   2361.859	    2361.859	     35.360	      0.000	      0.185
  17.200	     17.153	   2361.988	    2361.988	     33.065	      0.000	      0.165
  17.400	     17.257	   2362.110	    2362.110	     31.444	      0.000	      0.147
  17.600	     17.355	   2362.225	    2362.225	     29.408	      0.000	      0.130
  17.800	     17.448	   2362.334	    2362.334	     27.510	      0.000	      0.114
  18.000	     17.534	   2362.435	    2362.435	     25.683	      0.000	      0.099
  18.200	     17.613	   2362.529	    2362.529	     23.682	      0.000	      0.084
  18.400	     17.688	   2362.615	    2362.615	     22.079	      0.000	      0.073
  18.600	     17.758	   2362.696	    2362.696	     20.554	      0.000	      0.062
  18.800	     17.819	   2362.769	    2362.769	     18.077	      0.000	      0.050
