    时间	    开度值	      蜗壳压力	      尾水管压力	    流量	      转速	      出力	  单位转速	  单位流量	  单位力矩	球阀前压力	球阀后压力	蜗壳进口压力	尾水管出口压力
   0.000	   0.883	       496.798	        64.200	    81.324	   428.600	   306.065	    87.838	     0.225	    22.340	421.354739	420.753579	496.798437	2339.833435
   0.200	   0.883	       508.637	        64.134	    81.157	   436.922	   307.178	    89.167	     0.224	    21.809	422.918846	422.918846	508.038156	2339.959512
   0.400	   0.879	       511.671	        62.916	    80.837	   445.134	   308.078	    90.373	     0.222	    21.248	426.183763	426.183763	511.140675	2339.118093
   0.600	   0.875	       514.773	        62.454	    80.456	   453.207	   307.957	    91.611	     0.220	    20.680	429.227109	429.227109	514.190322	2337.937991
   0.800	   0.871	       517.268	        61.187	    80.109	   461.138	   307.863	    92.792	     0.218	    20.134	431.732138	431.732138	516.707374	2336.779428
   1.000	   0.867	       521.534	        61.578	    79.805	   468.926	   308.038	    93.925	     0.216	    19.630	435.121777	435.121777	520.251920	2336.687410
   1.200	   0.863	       524.762	        62.084	    79.350	   476.576	   306.612	    95.138	     0.214	    19.097	439.058411	439.058411	524.186613	2337.087534
   1.400	   0.859	       529.703	        63.212	    78.995	   484.092	   306.193	    96.206	     0.212	    18.607	443.881980	443.881980	528.698328	2338.069239
   1.600	   0.856	       533.436	        64.029	    78.475	   491.458	   303.944	    97.324	     0.210	    18.065	447.566932	447.566932	532.678227	2338.118468
   1.800	   0.852	       536.913	        63.325	    78.067	   498.676	   302.657	    98.276	     0.208	    17.557	452.106000	452.106000	537.152690	2338.519974
   2.000	   0.848	       540.114	        63.025	    77.457	   505.727	   299.144	    99.251	     0.205	    16.969	453.815652	453.815652	538.985733	2337.205016
   2.200	   0.844	       542.385	        61.156	    76.831	   512.603	   295.323	   100.115	     0.203	    16.369	456.378405	456.378405	541.405986	2335.055151
   2.400	   0.840	       546.126	        60.465	    76.182	   519.299	   291.018	   100.907	     0.200	    15.760	459.525838	459.525838	544.916393	2334.224039
   2.600	   0.836	       547.896	        57.207	    75.416	   525.821	   285.238	   101.589	     0.197	    15.081	459.641489	459.641489	546.489733	2332.847335
   2.800	   0.832	       553.101	        58.675	    74.336	   532.064	   275.710	   102.336	     0.193	    14.278	465.833107	465.833107	551.577419	2331.849409
   3.000	   0.828	       556.720	        58.510	    73.072	   538.006	   263.792	   103.007	     0.189	    13.387	468.652023	468.652023	554.835368	2331.391632
   3.200	   0.824	       560.378	        57.618	    71.808	   543.618	   251.594	   103.531	     0.185	    12.503	472.530111	472.530111	558.419605	2329.551344
   3.400	   0.820	       564.557	        56.957	    70.402	   548.911	   238.021	   103.955	     0.180	    11.584	474.000252	474.000252	558.273644	2329.162594
   3.600	   0.816	       571.165	        58.052	    69.168	   553.876	   226.243	   104.255	     0.176	    10.779	481.583132	481.583132	568.066463	2328.315239
   3.800	   0.812	       575.576	        57.493	    67.681	   558.513	   212.077	   104.540	     0.171	     9.909	487.818965	487.818965	573.544496	2328.097580
   4.000	   0.808	       582.197	        59.206	    66.250	   562.830	   198.579	   104.775	     0.166	     9.107	493.822039	493.822039	579.661058	2329.018928
   4.200	   0.805	       588.389	        60.751	    64.807	   566.820	   185.404	   104.978	     0.162	     8.357	499.982017	499.982017	585.968640	2329.756535
   4.400	   0.801	       593.154	        61.036	    63.426	   570.526	   173.106	   105.150	     0.158	     7.676	505.361025	505.361025	590.638127	2329.718895
   4.600	   0.797	       598.218	        61.985	    62.026	   573.963	   161.072	   105.311	     0.154	     7.037	509.683647	509.683647	595.800829	2329.817793
   4.800	   0.793	       601.956	        61.705	    60.692	   577.150	   150.182	   105.440	     0.150	     6.469	513.957238	513.957238	599.579366	2329.076974
   5.000	   0.789	       605.457	        61.611	    59.291	   580.090	   139.047	   105.565	     0.146	     5.913	517.760610	517.760610	602.848904	2328.244509
   5.200	   0.785	       607.472	        60.213	    57.890	   582.807	   128.422	   105.670	     0.142	     5.395	520.112070	520.112070	606.586558	2328.090090
   5.400	   0.781	       611.318	        61.144	    56.321	   585.277	   116.934	   105.775	     0.137	     4.860	522.573561	522.573561	609.073356	2327.284169
   5.600	   0.777	       613.289	        60.636	    54.581	   587.505	   104.664	   105.875	     0.133	     4.309	524.158691	524.158691	610.528440	2326.054686
   5.800	   0.773	       615.447	        60.422	    52.873	   589.479	    92.939	   105.943	     0.128	     3.793	525.414489	525.414489	612.392387	2325.257405
   6.000	   0.769	       615.437	        58.735	    50.868	   591.204	    78.939	   106.026	     0.123	     3.199	526.493115	526.493115	613.120930	2323.255032
   6.200	   0.765	       617.275	        58.762	    49.091	   592.665	    66.941	   106.058	     0.119	     2.694	527.527283	527.527283	614.726382	2322.212790
   6.400	   0.761	       618.492	        58.795	    47.033	   593.855	    53.019	   106.097	     0.113	     2.123	528.928540	528.928540	615.578417	2322.264515
   6.600	   0.757	       619.273	        58.633	    45.025	   594.777	    39.787	   106.114	     0.108	     1.586	529.821587	529.821587	616.306905	2321.489041
   6.800	   0.753	       622.251	        60.662	    42.891	   595.449	    27.135	   106.087	     0.103	     1.077	532.370898	532.370898	618.882398	2322.661741
   7.000	   0.750	       625.035	        62.584	    41.040	   595.906	    16.767	   106.039	     0.099	     0.664	533.314663	533.314663	620.215266	2323.050714
   7.200	   0.746	       625.761	        62.307	    39.066	   596.166	     6.505	   105.942	     0.094	     0.257	536.198174	536.198174	622.773661	2323.016075
   7.400	   0.742	       628.006	        63.564	    37.219	   596.232	    -2.959	   105.818	     0.089	    -0.116	538.687651	538.687651	625.004535	2324.075652
   7.600	   0.738	       629.578	        64.022	    35.284	   596.102	   -12.853	   105.647	     0.084	    -0.504	538.761063	538.761063	625.440136	2323.622235
   7.800	   0.734	       629.110	        62.186	    33.379	   595.787	   -22.407	   105.424	     0.080	    -0.877	540.561147	540.561147	626.457392	2322.760724
   8.000	   0.730	       631.911	        63.601	    31.466	   595.280	   -31.795	   105.168	     0.075	    -1.242	542.351309	542.351309	628.682240	2322.672742
   8.200	   0.726	       631.145	        61.492	    29.437	   594.588	   -40.864	   104.885	     0.070	    -1.593	541.263228	541.263228	627.736896	2320.245504
   8.400	   0.722	       632.164	        61.494	    27.391	   593.718	   -49.883	   104.604	     0.065	    -1.943	542.390633	542.390633	628.732072	2319.509586
   8.600	   0.718	       632.628	        60.454	    25.132	   592.666	   -59.227	   104.246	     0.060	    -2.303	542.724069	542.724069	630.314585	2318.723689
   8.800	   0.714	       632.050	        58.520	    22.855	   591.427	   -68.599	   103.873	     0.054	    -2.665	542.350159	542.350159	629.776035	2316.961584
   9.000	   0.710	       634.894	        58.789	    20.204	   589.981	   -79.291	   103.354	     0.048	    -3.072	544.312495	544.312495	631.029036	2316.533572
   9.200	   0.706	       634.870	        56.520	    17.556	   588.319	   -90.540	   102.834	     0.041	    -3.502	541.440661	541.440661	628.942994	2314.129032
   9.400	   0.702	       635.686	        55.615	    14.780	   586.422	  -103.313	   102.324	     0.035	    -3.995	546.396732	546.396732	633.607373	2312.825031
   9.600	   0.699	       636.475	        56.314	    12.270	   584.253	  -115.684	   101.919	     0.029	    -4.488	544.227311	544.227311	632.043058	2312.492690
   9.800	   0.695	       635.612	        55.778	     9.665	   581.794	  -130.602	   101.503	     0.023	    -5.089	544.902929	544.902929	632.396207	2312.649581
  10.000	   0.691	       637.360	        58.644	     7.195	   579.036	  -144.391	   101.108	     0.017	    -5.663	545.553799	545.553799	632.845241	2315.145118
  10.200	   0.687	       637.276	        60.203	     4.642	   575.976	  -158.222	   100.708	     0.011	    -6.255	545.979311	545.979311	633.118927	2316.845435
  10.400	   0.683	       636.068	        61.257	     2.240	   572.645	  -170.273	   100.318	     0.005	    -6.797	545.368561	545.368561	631.637410	2317.343256
  10.600	   0.679	       634.866	        62.899	     0.062	   569.067	  -180.569	    99.937	     0.000	    -7.289	543.935504	543.935504	630.644153	2318.371914
  10.800	   0.675	       629.776	        61.198	    -1.959	   565.252	  -189.762	    99.564	    -0.005	    -7.758	539.418325	539.418325	626.257392	2316.609444
  11.000	   0.671	       626.729	        62.157	    -3.839	   561.192	  -199.977	    99.202	    -0.009	    -8.294	537.508975	537.508975	624.109301	2317.894250
