 机组号	 蜗壳最大压力	   时间	 尾水管最小压力	   时间	  最大转速升高率	   时间	 尾水管最大压力	   时间
  J 10	        638.50	    10.05	          54.21	    9.64	          39.11	     7.35	          96.88	   44.71
  J 18	        627.88	     7.97	          14.47	   97.43	          42.27	     7.76	         166.75	  109.19
 调压室号	   最高涌浪	   时间	       最低涌浪	   时间	   向下最大压差	    时间	   向上最大压差	    时间
  J  2	       2794.97	    39.01	        2792.33	   98.14	           0.00	    75.68	           0.00	    16.01
  J  3	       2813.19	    40.85	        2776.67	  103.92	           0.48	    70.89	           1.47	    14.02
  J 12	       2368.20	    59.77	        2348.17	   20.52	           0.87	    12.26	           0.42	    37.61
  J 13	       2365.23	    54.84	        2353.89	   21.76	           0.06	    80.02	           0.08	    28.46
  J 20	       2366.60	    49.89	        2348.24	   19.68	           0.73	    15.09	           0.52	   101.93
  J 21	       2365.93	    55.99	        2354.15	   23.10	           0.15	    61.52	           0.14	    29.36
   球阀号	上游侧最大压力值	   时间	下游侧最大压力值	   时间	上游侧最小压力值	   时间	下游侧最小压力值	   时间
  J  8	        547.86	    10.08	         547.86	    10.08	        346.84	    19.57	        346.84	    19.57
  J 16	        681.63	   100.08	         539.84	     7.87	        139.60	   101.98	       -205.05	   107.44
