  管道号	    流量	始端压力	末端压力
  L  1	 162.6472	 433.2000	 433.1059
  L  2	 162.6472	 433.1059	 431.1571
  L  3	 162.6472	 431.1571	 431.1012
  L  4	 162.6472	 431.1012	 430.0630
  L  5	 162.6472	 430.0630	 426.1446
  L  6	  81.3237	 426.1446	 422.9547
  L  7	  81.3237	 422.9547	 421.3547
  L  8	  81.3237	 421.3547	 420.7536
  L  9	  81.3237	 420.7536	 420.7535
  L 10	  81.3237	   1.1161	   1.1161
  L 11	  81.3237	   1.1161	   0.7635
  L 12	  81.3237	   0.7635	   0.3357
  L 13	  81.3237	   0.3357	   0.0000
  L 14	  81.3237	 426.1446	 422.9547
  L 15	  81.3237	 422.9547	 421.3547
  L 16	  81.3237	 421.3547	 420.7536
  L 17	  81.3237	 420.7536	 420.7535
  L 18	  81.3237	   1.1161	   1.1161
  L 19	  81.3237	   1.1161	   0.7635
  L 20	  81.3237	   0.7635	   0.3357
  L 21	  81.3237	   0.3357	   0.0000
