    时间	    汇点水头	    大井水位	    升管水位	    大井流量	    升管流量	    底板压差
   0.000	      0.763	   2361.063	    2361.063	      0.000	      0.000	      0.000
   0.200	      0.763	   2361.063	    2361.063	     -0.238	      0.000	     -0.000
   0.400	      0.762	   2361.062	    2361.062	     -0.119	      0.000	     -0.000
   0.600	      0.761	   2361.061	    2361.061	     -0.304	      0.000	     -0.000
   0.800	      0.758	   2361.058	    2361.058	     -1.006	      0.000	     -0.000
   1.000	      0.753	   2361.054	    2361.054	     -1.306	      0.000	     -0.000
   1.200	      0.748	   2361.049	    2361.049	     -1.155	      0.000	     -0.000
   1.400	      0.743	   2361.044	    2361.044	     -1.324	      0.000	     -0.000
   1.600	      0.737	   2361.038	    2361.038	     -1.610	      0.000	     -0.000
   1.800	      0.732	   2361.032	    2361.032	     -1.544	      0.000	     -0.000
   2.000	      0.727	   2361.027	    2361.027	     -1.397	      0.000	     -0.000
   2.200	      0.722	   2361.022	    2361.022	     -1.678	      0.000	     -0.000
   2.400	      0.715	   2361.015	    2361.015	     -1.930	      0.000	     -0.001
   2.600	      0.706	   2361.007	    2361.007	     -2.184	      0.000	     -0.001
   2.800	      0.697	   2360.998	    2360.998	     -2.508	      0.000	     -0.001
   3.000	      0.686	   2360.988	    2360.988	     -3.828	      0.000	     -0.002
   3.200	      0.671	   2360.974	    2360.974	     -4.099	      0.000	     -0.002
   3.400	      0.654	   2360.957	    2360.957	     -4.799	      0.000	     -0.003
   3.600	      0.632	   2360.937	    2360.937	     -5.971	      0.000	     -0.005
   3.800	      0.602	   2360.911	    2360.911	     -7.595	      0.000	     -0.008
   4.000	      0.572	   2360.881	    2360.881	     -7.929	      0.000	     -0.010
   4.200	      0.536	   2360.848	    2360.848	     -9.146	      0.000	     -0.013
   4.400	      0.495	   2360.811	    2360.811	    -10.424	      0.000	     -0.016
   4.600	      0.451	   2360.770	    2360.770	    -11.225	      0.000	     -0.019
   4.800	      0.404	   2360.725	    2360.725	    -12.223	      0.000	     -0.022
   5.000	      0.351	   2360.677	    2360.677	    -13.158	      0.000	     -0.026
   5.200	      0.293	   2360.624	    2360.624	    -14.603	      0.000	     -0.032
   5.400	      0.229	   2360.566	    2360.566	    -15.960	      0.000	     -0.038
   5.600	      0.163	   2360.506	    2360.506	    -16.978	      0.000	     -0.043
   5.800	      0.087	   2360.439	    2360.439	    -18.645	      0.000	     -0.052
   6.000	      0.002	   2360.364	    2360.364	    -20.506	      0.000	     -0.062
   6.200	     -0.087	   2360.284	    2360.284	    -21.824	      0.000	     -0.071
   6.400	     -0.190	   2360.196	    2360.196	    -24.242	      0.000	     -0.087
   6.600	     -0.299	   2360.102	    2360.102	    -25.885	      0.000	     -0.101
   6.800	     -0.414	   2360.000	    2360.000	    -27.770	      0.000	     -0.114
   7.000	     -0.536	   2359.892	    2359.892	    -29.340	      0.000	     -0.128
   7.200	     -0.664	   2359.778	    2359.778	    -30.865	      0.000	     -0.142
   7.400	     -0.797	   2359.658	    2359.658	    -32.264	      0.000	     -0.155
   7.600	     -0.936	   2359.532	    2359.532	    -33.483	      0.000	     -0.168
   7.800	     -1.074	   2359.403	    2359.403	    -34.531	      0.000	     -0.178
   8.000	     -1.224	   2359.269	    2359.269	    -36.015	      0.000	     -0.194
   8.200	     -1.377	   2359.131	    2359.131	    -37.417	      0.000	     -0.207
   8.400	     -1.528	   2358.988	    2358.988	    -38.168	      0.000	     -0.216
   8.600	     -1.694	   2358.841	    2358.841	    -39.673	      0.000	     -0.235
   8.800	     -1.863	   2358.688	    2358.688	    -40.963	      0.000	     -0.251
   9.000	     -2.038	   2358.529	    2358.529	    -42.261	      0.000	     -0.267
   9.200	     -2.213	   2358.367	    2358.367	    -43.398	      0.000	     -0.281
   9.400	     -2.397	   2358.201	    2358.201	    -44.735	      0.000	     -0.297
   9.600	     -2.584	   2358.029	    2358.029	    -45.864	      0.000	     -0.314
   9.800	     -2.769	   2357.854	    2357.854	    -46.626	      0.000	     -0.323
  10.000	     -2.954	   2357.676	    2357.676	    -47.006	      0.000	     -0.331
  10.200	     -3.148	   2357.496	    2357.496	    -47.947	      0.000	     -0.344
  10.400	     -3.331	   2357.314	    2357.314	    -47.948	      0.000	     -0.345
  10.600	     -3.518	   2357.131	    2357.131	    -48.338	      0.000	     -0.349
  10.800	     -3.706	   2356.947	    2356.947	    -48.719	      0.000	     -0.354
  11.000	     -3.894	   2356.762	    2356.762	    -48.843	      0.000	     -0.356
  11.200	     -4.086	   2356.576	    2356.576	    -49.231	      0.000	     -0.362
  11.400	     -4.276	   2356.389	    2356.389	    -49.474	      0.000	     -0.365
  11.600	     -4.482	   2356.200	    2356.200	    -50.570	      0.000	     -0.382
  11.800	     -4.692	   2356.006	    2356.006	    -51.759	      0.000	     -0.397
  12.000	     -4.907	   2355.808	    2355.808	    -52.686	      0.000	     -0.415
  12.200	     -5.139	   2355.605	    2355.605	    -54.608	      0.000	     -0.444
  12.400	     -5.377	   2355.394	    2355.394	    -56.257	      0.000	     -0.472
  12.600	     -5.629	   2355.177	    2355.177	    -58.195	      0.000	     -0.505
  12.800	     -5.882	   2354.953	    2354.953	    -59.933	      0.000	     -0.535
  13.000	     -6.142	   2354.723	    2354.723	    -61.628	      0.000	     -0.565
  13.200	     -6.402	   2354.487	    2354.487	    -62.939	      0.000	     -0.590
  13.400	     -6.658	   2354.248	    2354.248	    -63.637	      0.000	     -0.606
  13.600	     -6.919	   2354.004	    2354.004	    -64.553	      0.000	     -0.624
  13.800	     -7.190	   2353.757	    2353.757	    -65.886	      0.000	     -0.647
  14.000	     -7.458	   2353.505	    2353.505	    -66.736	      0.000	     -0.663
  14.200	     -7.730	   2353.250	    2353.250	    -67.499	      0.000	     -0.680
  14.400	     -7.999	   2352.993	    2352.993	    -68.124	      0.000	     -0.692
  14.600	     -8.280	   2352.732	    2352.732	    -69.063	      0.000	     -0.713
  14.800	     -8.547	   2352.471	    2352.471	    -69.322	      0.000	     -0.717
  15.000	     -8.811	   2352.207	    2352.207	    -69.474	      0.000	     -0.718
  15.200	     -9.086	   2351.943	    2351.943	    -69.990	      0.000	     -0.729
  15.400	     -9.336	   2351.679	    2351.679	    -69.310	      0.000	     -0.715
  15.600	     -9.574	   2351.419	    2351.419	    -68.114	      0.000	     -0.693
  15.800	     -9.794	   2351.164	    2351.164	    -66.307	      0.000	     -0.658
  16.000	    -10.013	   2350.915	    2350.915	    -64.872	      0.000	     -0.629
  16.200	    -10.224	   2350.673	    2350.673	    -63.220	      0.000	     -0.597
  16.400	    -10.421	   2350.438	    2350.438	    -61.211	      0.000	     -0.559
  16.600	    -10.612	   2350.211	    2350.211	    -59.205	      0.000	     -0.522
  16.800	    -10.793	   2349.990	    2349.990	    -56.747	      0.000	     -0.484
  17.000	    -10.953	   2349.780	    2349.780	    -53.811	      0.000	     -0.433
  17.200	    -11.110	   2349.581	    2349.581	    -51.106	      0.000	     -0.391
  17.400	    -11.256	   2349.393	    2349.393	    -48.206	      0.000	     -0.348
  17.600	    -11.389	   2349.216	    2349.216	    -45.105	      0.000	     -0.305
  17.800	    -11.514	   2349.050	    2349.050	    -42.078	      0.000	     -0.264
  18.000	    -11.620	   2348.898	    2348.898	    -38.128	      0.000	     -0.218
  18.200	    -11.722	   2348.759	    2348.759	    -34.669	      0.000	     -0.181
  18.400	    -11.803	   2348.636	    2348.636	    -30.371	      0.000	     -0.139
  18.600	    -11.874	   2348.529	    2348.529	    -26.210	      0.000	     -0.102
