 机组号	 蜗壳最大压力	   时间	 尾水管最小压力	   时间	  最大转速升高率	   时间	 尾水管最大压力	   时间
  J 10	        610.17	    53.64	          26.34	   18.20	          34.75	     6.51	         108.71	   22.07
  J 18	        633.54	    13.56	          30.86	   13.03	          40.51	    11.74	         129.79	   17.51
 调压室号	   最高涌浪	   时间	       最低涌浪	   时间	   向下最大压差	    时间	   向上最大压差	    时间
  J  2	       2795.12	    41.35	        2792.16	  100.00	           0.00	    78.28	           0.00	    16.27
  J  3	       2816.94	    43.15	        2773.93	  100.00	           0.92	    75.48	           1.10	    15.04
  J 12	       2368.29	    59.48	        2347.59	   22.41	           0.57	    10.11	           0.26	    39.98
  J 13	       2364.25	    57.13	        2355.25	   21.39	           0.04	    14.02	           0.03	    50.78
  J 20	       2368.09	    65.71	        2350.35	   25.62	           1.47	    14.49	           0.46	    42.99
  J 21	       2364.99	    57.52	        2354.31	   25.15	           0.09	    83.02	           0.11	    51.50
   球阀号	上游侧最大压力值	   时间	下游侧最大压力值	   时间	上游侧最小压力值	   时间	下游侧最小压力值	   时间
  J  8	        523.77	    53.64	         523.77	    53.64	        355.33	    96.84	        355.33	    96.84
  J 16	        537.19	    13.59	         537.33	    13.59	        355.31	    96.88	        355.31	    96.88
