  1	  2	  3	  4	  5	 14	 15	 16	 17	 18	 19	 20	 21	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
    0.00	     2793.50	     2793.50
   10.77	     2793.90	     2793.18
   21.55	     2794.03	     2793.11
   32.32	     2794.17	     2792.99
   43.10	     2794.30	     2792.87
   53.87	     2794.44	     2792.74
   64.65	     2794.57	     2792.62
   75.42	     2794.69	     2792.51
   86.20	     2794.80	     2792.44
   96.97	     2794.90	     2792.37
  107.75	     2795.00	     2792.29
  118.53	     2795.11	     2792.21
  129.30	     2795.21	     2792.13
  140.08	     2795.05	     2792.22
  151.08	     2795.86	     2791.43
  162.09	     2796.05	     2791.28
  173.09	     2796.22	     2791.14
  184.10	     2796.40	     2790.99
  195.11	     2796.58	     2790.70
  206.11	     2796.76	     2790.55
  217.12	     2796.93	     2790.39
  228.13	     2797.10	     2790.24
  239.13	     2797.28	     2790.08
  250.14	     2797.45	     2789.93
  261.15	     2797.63	     2789.78
  272.15	     2797.81	     2789.63
  283.16	     2797.98	     2789.48
  294.17	     2798.17	     2789.33
  305.17	     2798.34	     2789.18
  316.18	     2798.52	     2789.03
  327.19	     2798.70	     2788.88
  338.19	     2798.87	     2788.73
  349.20	     2799.05	     2788.59
  360.21	     2799.23	     2788.45
  371.21	     2799.41	     2788.29
  382.22	     2799.58	     2788.15
  393.23	     2799.76	     2788.00
  404.23	     2799.94	     2787.86
  415.24	     2800.12	     2787.72
  426.25	     2800.30	     2787.58
  437.25	     2800.48	     2787.43
  448.26	     2800.66	     2787.29
  459.27	     2800.84	     2787.15
  470.27	     2801.02	     2787.01
  481.28	     2801.19	     2786.86
  492.29	     2801.37	     2786.72
  503.29	     2801.55	     2786.58
  514.30	     2801.73	     2786.43
  525.31	     2801.92	     2786.29
  536.31	     2802.10	     2786.14
  547.32	     2802.29	     2785.99
  558.33	     2802.48	     2785.85
  569.33	     2802.67	     2785.71
  580.34	     2802.85	     2785.56
  591.34	     2803.02	     2785.41
  602.35	     2803.21	     2785.27
  613.36	     2803.40	     2785.12
  624.36	     2803.59	     2784.97
  635.37	     2803.77	     2784.82
  646.38	     2803.95	     2784.67
  657.38	     2804.13	     2784.51
  668.39	     2804.31	     2784.36
  679.40	     2804.49	     2784.22
  690.40	     2804.67	     2784.06
  701.41	     2804.85	     2783.91
  712.42	     2805.03	     2783.76
  723.42	     2805.21	     2783.60
  734.43	     2805.39	     2783.45
  745.44	     2805.56	     2783.30
  756.44	     2805.73	     2783.14
  767.45	     2805.92	     2782.99
