    时间	    汇点水头	    大井水位	    升管水位	    大井流量	    升管流量	    底板压差
   0.000	      0.763	   2361.063	    2361.063	      0.000	      0.000	      0.000
   0.200	      0.763	   2361.063	    2361.063	     -0.238	      0.000	     -0.000
   0.400	      0.762	   2361.062	    2361.062	     -0.119	      0.000	     -0.000
   0.600	      0.761	   2361.061	    2361.061	     -0.309	      0.000	     -0.000
   0.800	      0.757	   2361.057	    2361.057	     -1.291	      0.000	     -0.000
   1.000	      0.751	   2361.051	    2361.051	     -2.055	      0.000	     -0.001
   1.200	      0.741	   2361.042	    2361.042	     -2.406	      0.000	     -0.001
   1.400	      0.730	   2361.032	    2361.032	     -3.076	      0.000	     -0.001
   1.600	      0.716	   2361.019	    2361.019	     -3.742	      0.000	     -0.002
   1.800	      0.701	   2361.004	    2361.004	     -4.081	      0.000	     -0.002
   2.000	      0.686	   2360.988	    2360.988	     -4.454	      0.000	     -0.003
   2.200	      0.667	   2360.971	    2360.971	     -5.355	      0.000	     -0.004
   2.400	      0.643	   2360.948	    2360.948	     -6.308	      0.000	     -0.006
   2.600	      0.615	   2360.923	    2360.923	     -7.274	      0.000	     -0.008
   2.800	      0.583	   2360.893	    2360.893	     -8.306	      0.000	     -0.010
   3.000	      0.544	   2360.859	    2360.859	    -10.333	      0.000	     -0.015
   3.200	      0.501	   2360.820	    2360.820	    -11.215	      0.000	     -0.019
   3.400	      0.452	   2360.775	    2360.775	    -12.571	      0.000	     -0.023
   3.600	      0.393	   2360.724	    2360.724	    -14.492	      0.000	     -0.031
   3.800	      0.322	   2360.664	    2360.664	    -16.867	      0.000	     -0.042
   4.000	      0.249	   2360.598	    2360.598	    -18.068	      0.000	     -0.049
   4.200	      0.166	   2360.525	    2360.525	    -19.991	      0.000	     -0.060
   4.400	      0.074	   2360.446	    2360.446	    -21.950	      0.000	     -0.072
   4.600	     -0.022	   2360.360	    2360.360	    -23.483	      0.000	     -0.082
   4.800	     -0.126	   2360.267	    2360.267	    -25.259	      0.000	     -0.093
   5.000	     -0.241	   2360.168	    2360.168	    -26.971	      0.000	     -0.108
   5.200	     -0.366	   2360.061	    2360.061	    -29.179	      0.000	     -0.127
   5.400	     -0.497	   2359.947	    2359.947	    -31.141	      0.000	     -0.144
   5.600	     -0.631	   2359.828	    2359.828	    -32.635	      0.000	     -0.159
   5.800	     -0.778	   2359.701	    2359.701	    -34.646	      0.000	     -0.178
   6.000	     -0.936	   2359.565	    2359.565	    -36.750	      0.000	     -0.201
   6.200	     -1.097	   2359.423	    2359.423	    -38.388	      0.000	     -0.219
   6.400	     -1.277	   2359.272	    2359.272	    -40.964	      0.000	     -0.249
   6.600	     -1.463	   2359.113	    2359.113	    -42.936	      0.000	     -0.277
   6.800	     -1.655	   2358.947	    2358.947	    -45.095	      0.000	     -0.302
   7.000	     -1.856	   2358.773	    2358.773	    -47.002	      0.000	     -0.329
   7.200	     -2.068	   2358.591	    2358.591	    -49.026	      0.000	     -0.359
   7.400	     -2.290	   2358.400	    2358.400	    -51.197	      0.000	     -0.390
   7.600	     -2.521	   2358.201	    2358.201	    -53.130	      0.000	     -0.422
   7.800	     -2.750	   2357.997	    2357.997	    -54.760	      0.000	     -0.447
   8.000	     -2.992	   2357.786	    2357.786	    -56.604	      0.000	     -0.478
   8.200	     -3.233	   2357.569	    2357.569	    -58.121	      0.000	     -0.502
   8.400	     -3.472	   2357.347	    2357.347	    -59.108	      0.000	     -0.519
   8.600	     -3.732	   2357.120	    2357.120	    -60.760	      0.000	     -0.552
   8.800	     -3.987	   2356.887	    2356.887	    -62.010	      0.000	     -0.574
   9.000	     -4.242	   2356.650	    2356.650	    -62.955	      0.000	     -0.591
   9.200	     -4.491	   2356.410	    2356.410	    -63.429	      0.000	     -0.601
   9.400	     -4.743	   2356.169	    2356.169	    -64.115	      0.000	     -0.612
   9.600	     -5.006	   2355.925	    2355.925	    -64.985	      0.000	     -0.630
   9.800	     -5.262	   2355.677	    2355.677	    -65.532	      0.000	     -0.639
  10.000	     -5.519	   2355.428	    2355.428	    -65.806	      0.000	     -0.647
  10.200	     -5.785	   2355.176	    2355.176	    -66.491	      0.000	     -0.661
  10.400	     -6.029	   2354.924	    2354.924	    -66.053	      0.000	     -0.653
  10.600	     -6.271	   2354.675	    2354.675	    -65.712	      0.000	     -0.645
  10.800	     -6.506	   2354.427	    2354.427	    -65.157	      0.000	     -0.633
  11.000	     -6.736	   2354.181	    2354.181	    -64.272	      0.000	     -0.617
  11.200	     -6.955	   2353.939	    2353.939	    -62.966	      0.000	     -0.594
  11.400	     -7.152	   2353.704	    2353.704	    -60.994	      0.000	     -0.556
  11.600	     -7.343	   2353.476	    2353.476	    -58.913	      0.000	     -0.519
  11.800	     -7.515	   2353.258	    2353.258	    -56.323	      0.000	     -0.473
  12.000	     -7.673	   2353.050	    2353.050	    -53.132	      0.000	     -0.423
  12.200	     -7.827	   2352.855	    2352.855	    -50.494	      0.000	     -0.382
  12.400	     -7.968	   2352.669	    2352.669	    -47.510	      0.000	     -0.337
  12.600	     -8.095	   2352.495	    2352.495	    -44.028	      0.000	     -0.290
  12.800	     -8.211	   2352.335	    2352.335	    -40.503	      0.000	     -0.246
  13.000	     -8.320	   2352.188	    2352.188	    -37.298	      0.000	     -0.208
  13.200	     -8.415	   2352.054	    2352.054	    -33.658	      0.000	     -0.169
  13.400	     -8.496	   2351.935	    2351.935	    -29.595	      0.000	     -0.132
  13.600	     -8.565	   2351.831	    2351.831	    -25.231	      0.000	     -0.097
  13.800	     -8.623	   2351.743	    2351.743	    -20.934	      0.000	     -0.066
  14.000	     -8.667	   2351.672	    2351.672	    -16.248	      0.000	     -0.039
  14.200	     -8.699	   2351.620	    2351.620	    -11.219	      0.000	     -0.019
  14.400	     -8.722	   2351.586	    2351.586	     -7.004	      0.000	     -0.008
  14.600	     -8.737	   2351.566	    2351.566	     -3.523	      0.000	     -0.002
  14.800	     -8.741	   2351.559	    2351.559	      0.028	      0.000	      0.000
  15.000	     -8.735	   2351.564	    2351.564	      2.422	      0.000	      0.001
  15.200	     -8.723	   2351.575	    2351.575	      3.421	      0.000	      0.002
  15.400	     -8.710	   2351.588	    2351.588	      3.298	      0.000	      0.002
  15.600	     -8.700	   2351.599	    2351.599	      2.263	      0.000	      0.001
  15.800	     -8.695	   2351.605	    2351.605	      0.977	      0.000	      0.000
  16.000	     -8.695	   2351.605	    2351.605	     -1.039	      0.000	     -0.000
  16.200	     -8.704	   2351.597	    2351.597	     -3.127	      0.000	     -0.001
  16.400	     -8.722	   2351.582	    2351.582	     -5.448	      0.000	     -0.004
  16.600	     -8.754	   2351.556	    2351.556	     -8.432	      0.000	     -0.010
  16.800	     -8.798	   2351.519	    2351.519	    -10.844	      0.000	     -0.018
  17.000	     -8.851	   2351.474	    2351.474	    -13.029	      0.000	     -0.025
  17.200	     -8.915	   2351.420	    2351.420	    -15.355	      0.000	     -0.035
  17.400	     -8.986	   2351.358	    2351.358	    -17.253	      0.000	     -0.044
  17.600	     -9.059	   2351.291	    2351.291	    -18.421	      0.000	     -0.050
  17.800	     -9.137	   2351.219	    2351.219	    -19.453	      0.000	     -0.056
  18.000	     -9.224	   2351.142	    2351.142	    -21.171	      0.000	     -0.066
  18.200	     -9.333	   2351.056	    2351.056	    -24.372	      0.000	     -0.088
  18.400	     -9.457	   2350.957	    2350.957	    -27.599	      0.000	     -0.114
  18.600	     -9.599	   2350.846	    2350.846	    -31.375	      0.000	     -0.144
