  1	  2	  3	  4	  5	  6	  7	  8	  9	 10	 11	 12	 13	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
    0.00	     2807.00	     2807.00
   10.77	     2807.35	     2806.73
   21.55	     2807.47	     2806.72
   32.32	     2807.60	     2806.71
   43.10	     2807.72	     2806.70
   53.87	     2807.85	     2806.70
   64.65	     2807.97	     2806.69
   75.42	     2808.09	     2806.68
   86.20	     2808.19	     2806.68
   96.97	     2808.29	     2806.67
  107.75	     2808.39	     2806.67
  118.53	     2808.49	     2806.66
  129.30	     2808.59	     2806.65
  140.08	     2808.47	     2806.91
  151.08	     2809.17	     2806.22
  162.09	     2809.33	     2806.21
  173.09	     2809.48	     2806.20
  184.10	     2809.62	     2806.18
  195.11	     2809.77	     2806.17
  206.11	     2809.92	     2806.15
  217.12	     2810.07	     2806.13
  228.13	     2810.22	     2806.12
  239.13	     2810.36	     2806.10
  250.14	     2810.51	     2806.08
  261.15	     2810.66	     2806.07
  272.15	     2810.81	     2806.05
  283.16	     2810.96	     2806.04
  294.17	     2811.11	     2806.02
  305.17	     2811.26	     2806.00
  316.18	     2811.40	     2805.99
  327.19	     2811.55	     2805.97
  338.19	     2811.70	     2805.96
  349.20	     2811.85	     2805.94
  360.21	     2812.00	     2805.92
  371.21	     2812.15	     2805.91
  382.22	     2812.30	     2805.89
  393.23	     2812.45	     2805.87
  404.23	     2812.60	     2805.86
  415.24	     2812.75	     2805.84
  426.25	     2812.90	     2805.83
  437.25	     2813.06	     2805.81
  448.26	     2813.21	     2805.79
  459.27	     2813.36	     2805.78
  470.27	     2813.51	     2805.76
  481.28	     2813.66	     2805.74
  492.29	     2813.81	     2805.73
  503.29	     2813.96	     2805.71
  514.30	     2814.13	     2805.70
  525.31	     2814.28	     2805.68
  536.31	     2814.43	     2805.66
  547.32	     2814.58	     2805.65
  558.33	     2814.73	     2805.63
  569.33	     2814.88	     2805.61
  580.34	     2815.04	     2805.60
  591.34	     2815.19	     2805.58
  602.35	     2815.34	     2805.56
  613.36	     2815.50	     2805.55
  624.36	     2815.65	     2805.53
  635.37	     2815.80	     2805.52
  646.38	     2815.95	     2805.50
  657.38	     2816.11	     2805.48
  668.39	     2816.26	     2805.47
  679.40	     2816.41	     2805.45
  690.40	     2816.56	     2805.43
  701.41	     2816.71	     2805.42
  712.42	     2816.86	     2805.40
  723.42	     2817.01	     2805.38
  734.43	     2817.16	     2805.37
  745.44	     2817.31	     2805.35
  756.44	     2817.45	     2805.33
  767.45	     2817.60	     2805.32
  778.46	     2817.75	     2805.30
  789.46	     2817.91	     2805.28
  800.47	     2818.06	     2805.27
  811.48	     2818.26	     2805.38
  822.48	     2818.49	     2805.39
  833.49	     2818.64	     2805.38
  844.50	     2818.79	     2805.36
  855.50	     2818.93	     2805.35
  866.51	     2819.08	     2805.34
  877.52	     2819.22	     2805.32
  888.52	     2819.36	     2805.31
  899.53	     2819.50	     2805.30
  910.54	     2819.64	     2805.28
  921.54	     2819.80	     2805.27
  932.55	     2819.94	     2805.26
  943.56	     2820.07	     2805.25
  954.56	     2820.22	     2805.23
  965.57	     2820.37	     2805.22
  976.58	     2820.51	     2805.21
  987.58	     2820.65	     2805.19
  998.59	     2820.79	     2805.18
 1009.59	     2820.93	     2805.17
 1020.60	     2821.08	     2805.16
 1031.61	     2821.22	     2805.14
 1042.61	     2821.36	     2805.13
 1053.62	     2821.51	     2805.12
 1064.63	     2821.65	     2805.10
 1075.63	     2821.79	     2805.09
 1086.64	     2821.94	     2805.08
 1097.65	     2822.08	     2805.07
 1108.65	     2822.22	     2805.05
 1119.66	     2822.37	     2805.04
 1130.67	     2822.51	     2805.03
 1141.67	     2822.66	     2805.01
 1152.68	     2822.80	     2805.00
 1163.69	     2822.94	     2804.99
 1174.69	     2823.08	     2804.97
 1185.70	     2823.22	     2804.96
 1196.71	     2823.37	     2804.95
 1207.71	     2823.51	     2804.93
 1218.72	     2823.66	     2804.92
 1229.73	     2823.80	     2804.91
 1240.73	     2823.94	     2804.89
 1251.74	     2824.08	     2804.88
 1262.75	     2824.21	     2804.87
 1273.75	     2824.36	     2804.85
 1284.76	     2824.51	     2804.84
 1295.77	     2824.66	     2804.82
 1306.77	     2824.80	     2804.81
 1317.78	     2824.93	     2804.80
 1328.79	     2825.07	     2804.78
 1339.79	     2825.21	     2804.77
 1350.80	     2825.36	     2804.76
 1361.81	     2825.50	     2804.74
 1372.81	     2825.65	     2804.73
 1383.82	     2825.79	     2804.72
 1394.83	     2825.93	     2804.70
 1405.83	     2826.06	     2804.69
 1416.84	     2826.20	     2804.68
 1427.85	     2826.35	     2804.66
 1438.85	     2826.49	     2804.65
 1449.86	     2826.63	     2804.64
 1460.86	     2826.78	     2804.62
 1471.87	     2826.92	     2804.61
 1482.88	     2826.35	     2805.27
 1493.54	     2826.58	     2803.94
 1504.21	     2826.74	     2803.73
 1514.88	     2826.78	     2803.29
 1526.03	     2826.88	     2802.74
 1537.17	     2826.94	     2802.67
 1548.32	     2827.10	     2802.63
 1559.47	     2827.40	     2802.60
 1570.61	     2827.74	     2802.58
 1581.76	     2828.15	     2802.56
 1592.91	     2828.60	     2802.54
 1604.06	     2828.94	     2802.52
 1615.20	     2829.18	     2802.49
 1626.35	     2829.52	     2802.47
 1637.50	     2829.89	     2802.44
 1648.65	     2830.24	     2802.42
 1659.79	     2830.47	     2802.39
 1670.94	     2830.81	     2802.37
 1682.09	     2831.15	     2802.10
 1693.24	     2831.36	     2801.07
 1704.38	     2831.80	     2799.86
 1715.53	     2832.19	     2799.05
 1726.68	     2832.57	     2798.33
 1737.82	     2832.90	     2797.15
 1748.97	     2833.24	     2796.23
 1760.12	     2833.56	     2795.26
 1771.27	     2833.94	     2794.06
 1782.41	     2834.30	     2792.80
 1793.56	     2834.67	     2792.02
 1804.71	     2834.96	     2791.21
 1815.86	     2835.43	     2790.50
 1827.00	     2836.10	     2789.60
 1838.15	     2836.94	     2788.64
 1849.30	     2837.65	     2787.41
 1860.45	     2838.37	     2786.42
 1871.59	     2839.25	     2785.69
 1882.74	     2839.76	     2784.83
 1893.89	     2840.57	     2783.78
 1905.04	     2841.22	     2782.81
 1916.02	     2842.16	     2781.34
 1927.01	     2843.48	     2780.22
 1938.00	     2844.57	     2779.03
 1948.99	     2845.66	     2777.82
 1959.98	     2846.88	     2776.69
 1970.97	     2847.92	     2775.58
 1981.96	     2848.59	     2774.45
 1992.95	     2849.31	     2773.10
 2003.94	     2850.16	     2771.62
 2014.93	     2850.83	     2770.57
 2025.92	     2851.94	     2769.31
 2036.91	     2853.19	     2768.11
 2047.90	     2854.39	     2766.98
 2058.89	     2855.47	     2766.04
 2069.88	     2856.52	     2764.99
 2080.87	     2857.44	     2763.49
 2091.86	     2858.44	     2762.34
 2102.85	     2859.29	     2761.52
 2113.84	     2859.88	     2760.78
 2124.83	     2860.80	     2759.80
 2135.82	     2861.69	     2758.31
 2146.81	     2862.61	     2757.25
 2157.80	     2863.63	     2756.33
 2168.79	     2864.48	     2754.85
 2179.78	     2865.23	     2753.69
 2190.77	     2866.09	     2753.10
 2201.76	     2867.06	     2752.32
 2212.75	     2867.90	     2751.21
 2223.74	     2868.64	     2750.39
 2234.73	     2869.61	     2749.22
 2245.72	     2870.47	     2748.24
 2256.71	     2871.30	     2747.36
 2267.70	     2871.96	     2746.13
 2278.69	     2872.90	     2744.96
 2289.68	     2873.75	     2743.80
 2300.67	     2874.60	     2743.13
 2311.66	     2875.66	     2742.37
 2322.65	     2876.42	     2741.32
 2333.64	     2877.37	     2740.50
 2344.63	     2878.42	     2739.34
 2355.62	     2879.34	     2738.35
 2366.61	     2880.25	     2737.69
 2377.59	     2881.14	     2736.86
 2388.58	     2881.69	     2736.09
 2399.57	     2882.67	     2735.20
 2410.56	     2883.20	     2734.23
 2421.55	     2883.91	     2733.40
 2432.54	     2884.93	     2732.74
 2443.53	     2885.69	     2732.11
 2454.52	     2886.67	     2731.19
 2465.51	     2887.62	     2730.36
 2476.50	     2888.60	     2729.63
 2487.49	     2889.39	     2728.95
 2498.48	     2890.12	     2728.18
 2509.47	     2891.31	     2727.35
 2520.46	     2892.33	     2726.69
 2531.45	     2892.82	     2725.97
 2542.44	     2893.51	     2725.27
 2553.43	     2894.31	     2724.40
 2564.42	     2895.27	     2724.01
 2575.41	     2896.27	     2723.43
 2586.40	     2896.94	     2722.76
 2597.39	     2897.80	     2722.26
 2608.38	     2898.44	     2721.73
 2619.37	     2898.89	     2721.07
 2630.36	     2899.80	     2720.46
 2641.35	     2900.77	     2719.93
