  1	  2	  3	  4	  5	  6	  7	  8	  9	 10	 11	 12	 13	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
    0.00	     2793.50	     2793.50
   10.77	     2793.92	     2793.18
   21.55	     2794.08	     2793.09
   32.32	     2794.23	     2792.95
   43.10	     2794.39	     2792.81
   53.87	     2794.55	     2792.67
   64.65	     2794.70	     2792.53
   75.42	     2794.85	     2792.41
   86.20	     2794.98	     2792.31
   96.97	     2795.10	     2792.22
  107.75	     2795.23	     2792.12
  118.53	     2795.36	     2792.02
  129.30	     2795.49	     2791.92
  140.08	     2795.36	     2791.98
  151.08	     2796.17	     2791.09
  162.09	     2796.36	     2790.94
  173.09	     2796.54	     2790.79
  184.10	     2796.71	     2790.64
  195.11	     2796.90	     2790.48
  206.11	     2797.08	     2790.34
  217.12	     2797.26	     2790.18
  228.13	     2797.44	     2790.02
  239.13	     2797.61	     2789.87
  250.14	     2797.78	     2789.71
  261.15	     2797.96	     2789.57
  272.15	     2798.14	     2789.42
  283.16	     2798.32	     2789.27
  294.17	     2798.50	     2789.12
  305.17	     2798.69	     2788.96
  316.18	     2798.86	     2788.80
  327.19	     2799.04	     2788.64
  338.19	     2799.21	     2788.49
  349.20	     2799.40	     2788.35
  360.21	     2799.58	     2788.20
  371.21	     2799.76	     2788.03
  382.22	     2799.94	     2787.87
  393.23	     2800.12	     2787.72
  404.23	     2800.30	     2787.57
  415.24	     2800.48	     2787.41
  426.25	     2800.66	     2787.26
  437.25	     2800.85	     2787.11
  448.26	     2801.03	     2786.96
  459.27	     2801.22	     2786.80
  470.27	     2801.40	     2786.65
  481.28	     2801.58	     2786.50
  492.29	     2801.76	     2786.35
  503.29	     2801.94	     2786.20
  514.30	     2802.13	     2786.05
  525.31	     2802.32	     2785.90
  536.31	     2802.50	     2785.75
  547.32	     2802.68	     2785.60
  558.33	     2802.86	     2785.44
  569.33	     2803.06	     2785.29
  580.34	     2803.25	     2785.13
  591.34	     2803.43	     2784.97
  602.35	     2803.62	     2784.81
  613.36	     2803.82	     2784.66
  624.36	     2804.00	     2784.50
  635.37	     2804.18	     2784.34
  646.38	     2804.37	     2784.18
  657.38	     2804.56	     2784.01
  668.39	     2804.75	     2783.85
  679.40	     2804.93	     2783.69
  690.40	     2805.11	     2783.53
  701.41	     2805.30	     2783.36
  712.42	     2805.49	     2783.19
  723.42	     2805.68	     2783.03
  734.43	     2805.86	     2782.86
  745.44	     2806.05	     2782.69
  756.44	     2806.23	     2782.51
  767.45	     2806.42	     2782.34
  778.46	     2806.60	     2782.18
  789.46	     2806.80	     2782.02
  800.47	     2806.98	     2781.85
  811.48	     2807.26	     2781.74
  822.48	     2807.54	     2781.75
  833.49	     2807.72	     2781.61
  844.50	     2807.89	     2781.46
  855.50	     2808.07	     2781.31
  866.51	     2808.24	     2781.17
  877.52	     2808.41	     2781.02
  888.52	     2808.58	     2780.86
  899.53	     2808.75	     2780.71
  910.54	     2808.92	     2780.56
  921.54	     2809.11	     2780.41
  932.55	     2809.28	     2780.27
  943.56	     2809.44	     2780.12
  954.56	     2809.62	     2779.97
  965.57	     2809.80	     2779.82
  976.58	     2809.97	     2779.67
  987.58	     2810.14	     2779.53
  998.59	     2810.31	     2779.38
 1009.59	     2810.48	     2779.22
 1020.60	     2810.66	     2779.08
 1031.61	     2810.84	     2778.94
 1042.61	     2811.01	     2778.78
 1053.62	     2811.19	     2778.64
 1064.63	     2811.36	     2778.50
 1075.63	     2811.53	     2778.35
 1086.64	     2811.71	     2778.20
 1097.65	     2811.88	     2778.05
 1108.65	     2812.06	     2777.90
 1119.66	     2812.24	     2777.76
 1130.67	     2812.41	     2777.61
 1141.67	     2812.59	     2777.45
 1152.68	     2812.77	     2777.30
 1163.69	     2812.94	     2777.14
 1174.69	     2813.11	     2776.99
 1185.70	     2813.29	     2776.84
 1196.71	     2813.46	     2776.69
 1207.71	     2813.64	     2776.54
 1218.72	     2813.82	     2776.38
 1229.73	     2814.00	     2776.22
 1240.73	     2814.18	     2776.07
 1251.74	     2814.35	     2775.91
 1262.75	     2814.51	     2775.76
 1273.75	     2814.69	     2775.61
 1284.76	     2814.88	     2775.45
 1295.77	     2815.06	     2775.29
 1306.77	     2815.23	     2775.13
 1317.78	     2815.40	     2774.97
 1328.79	     2815.57	     2774.81
 1339.79	     2815.75	     2774.66
 1350.80	     2815.93	     2774.51
 1361.81	     2816.12	     2774.35
 1372.81	     2816.30	     2774.20
 1383.82	     2816.48	     2774.05
 1394.83	     2816.65	     2773.89
 1405.83	     2816.82	     2773.72
 1416.84	     2817.00	     2773.57
 1427.85	     2817.18	     2773.46
 1438.85	     2817.36	     2773.42
 1449.86	     2817.54	     2773.26
 1460.86	     2817.73	     2773.10
 1471.87	     2817.90	     2772.96
 1482.88	     2817.29	     2773.08
