 机组号	 蜗壳最大压力	   时间	 尾水管最小压力	   时间	  最大转速升高率	   时间	 尾水管最大压力	   时间
  J 10	        650.44	    10.05	          55.41	    3.37	          40.36	     7.38	         102.03	   44.28
  J 18	        650.44	    10.05	          55.41	    3.37	          40.36	     7.38	         102.02	   44.28
 调压室号	   最高涌浪	   时间	       最低涌浪	   时间	   向下最大压差	    时间	   向上最大压差	    时间
  J  2	       2795.36	    38.48	        2791.98	   97.11	           0.00	    75.68	           0.00	    14.45
  J  3	       2817.29	    39.05	        2773.08	   99.21	           1.10	    69.77	           1.83	    13.62
  J 12	       2368.41	    59.69	        2347.18	   19.42	           0.84	    12.47	           0.52	    40.17
  J 13	       2366.08	    54.73	        2353.48	   22.21	           0.09	    80.66	           0.12	    48.77
  J 20	       2368.41	    59.69	        2347.18	   19.42	           0.84	    12.47	           0.52	    40.17
  J 21	       2366.08	    54.73	        2353.48	   22.21	           0.09	    80.66	           0.12	    48.77
   球阀号	上游侧最大压力值	   时间	下游侧最大压力值	   时间	上游侧最小压力值	   时间	下游侧最小压力值	   时间
  J  8	        563.70	    52.69	         563.70	    52.69	        318.68	    96.16	        318.68	    96.16
  J 16	        563.70	    52.69	         563.70	    52.69	        318.68	    96.16	        318.68	    96.16
