  1	  2	  3	  4	  5	 14	 15	 16	 17	 18	 19	 20	 21	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
    0.00	     2807.00	     2807.00
   23.35	     2807.55	     2806.61
   46.69	     2807.88	     2806.33
   70.04	     2808.21	     2806.01
   93.38	     2808.49	     2805.81
  116.73	     2808.77	     2805.58
  140.07	     2808.85	     2805.49
  162.09	     2809.74	     2804.65
  184.10	     2810.10	     2804.34
  206.11	     2810.45	     2804.03
  228.13	     2810.80	     2803.72
  250.14	     2811.15	     2803.41
  272.15	     2811.50	     2803.11
  294.17	     2811.85	     2802.81
  316.18	     2812.20	     2802.50
  338.19	     2812.56	     2802.19
  360.21	     2812.92	     2801.87
  382.22	     2813.27	     2801.56
  404.23	     2813.62	     2801.24
  426.25	     2813.96	     2800.92
  448.26	     2814.32	     2800.61
  470.27	     2814.68	     2800.30
  492.29	     2815.03	     2799.99
  514.30	     2815.39	     2799.68
  536.31	     2815.75	     2799.36
  558.33	     2816.11	     2799.05
  580.34	     2816.46	     2798.72
  602.35	     2816.82	     2798.40
  624.36	     2817.17	     2798.07
  646.38	     2817.52	     2797.73
  668.39	     2817.87	     2797.40
  690.40	     2818.22	     2797.08
  712.42	     2818.57	     2796.75
  734.43	     2818.92	     2796.44
  756.44	     2819.28	     2796.13
  778.46	     2819.63	     2795.81
  800.47	     2819.98	     2795.50
  822.48	     2820.35	     2795.30
  844.50	     2820.71	     2794.98
  866.51	     2821.05	     2794.66
  888.52	     2821.40	     2794.35
  910.54	     2821.74	     2794.05
  932.55	     2822.09	     2793.75
  954.56	     2822.44	     2793.44
  976.58	     2822.79	     2793.14
  998.59	     2823.15	     2792.82
 1020.60	     2823.50	     2792.51
 1042.61	     2823.86	     2792.19
 1064.63	     2824.21	     2791.87
 1086.64	     2824.57	     2791.56
 1108.65	     2824.93	     2791.26
 1130.67	     2825.28	     2790.95
 1152.68	     2825.64	     2790.65
 1174.69	     2825.99	     2790.34
 1196.71	     2826.36	     2790.02
 1218.72	     2826.72	     2789.71
 1240.73	     2827.07	     2789.39
 1262.75	     2827.42	     2789.07
 1284.76	     2827.77	     2788.75
 1306.77	     2828.12	     2788.45
 1328.79	     2828.48	     2788.16
 1350.80	     2828.83	     2787.87
 1372.81	     2829.18	     2787.57
 1394.83	     2829.53	     2787.26
 1416.84	     2829.87	     2786.94
 1438.85	     2830.21	     2786.63
 1460.86	     2830.55	     2786.31
 1482.88	     2830.27	     2786.43
 1514.88	     2832.15	     2784.62
 1536.55	     2833.62	     2783.19
 1558.23	     2835.09	     2781.85
 1579.90	     2836.31	     2780.72
 1601.58	     2837.60	     2779.69
 1623.25	     2838.92	     2778.55
 1644.93	     2840.09	     2777.28
 1666.61	     2841.27	     2776.37
 1688.28	     2842.48	     2775.32
 1709.96	     2843.77	     2774.16
 1731.63	     2845.10	     2772.75
 1753.31	     2846.19	     2771.60
 1774.98	     2847.32	     2770.62
 1796.66	     2848.18	     2769.59
 1818.33	     2849.33	     2768.46
 1840.01	     2850.20	     2767.52
 1861.68	     2851.10	     2766.63
 1883.36	     2852.03	     2765.87
 1905.04	     2852.86	     2765.17
 1927.29	     2854.05	     2764.15
 1949.54	     2855.14	     2762.90
 1971.80	     2856.24	     2761.56
 1994.05	     2857.63	     2759.77
 2016.31	     2859.10	     2757.94
 2038.56	     2860.72	     2756.47
 2060.81	     2862.34	     2755.27
 2083.07	     2864.53	     2754.36
 2105.32	     2866.93	     2753.44
 2127.58	     2868.70	     2752.40
 2149.83	     2870.73	     2751.42
 2172.09	     2873.23	     2750.35
