    时间	    汇点水头	    大井水位	    升管水位	    大井流量	    升管流量	    底板压差
   0.000	      0.643	   2345.643	    2345.643	      0.000	      0.000	      0.000
   0.400	      0.642	   2345.642	    2345.642	     -0.091	      0.000	     -0.000
   0.800	      0.636	   2345.637	    2345.637	     -1.272	      0.000	     -0.000
   1.200	      0.622	   2345.623	    2345.623	     -1.957	      0.000	     -0.001
   1.600	      0.602	   2345.603	    2345.603	     -2.974	      0.000	     -0.001
   2.000	      0.579	   2345.581	    2345.581	     -3.363	      0.000	     -0.002
   2.400	      0.551	   2345.554	    2345.554	     -4.289	      0.000	     -0.003
   2.800	      0.510	   2345.515	    2345.515	     -5.764	      0.000	     -0.005
   3.200	      0.451	   2345.461	    2345.461	     -8.524	      0.000	     -0.011
   3.600	      0.363	   2345.384	    2345.384	    -11.998	      0.000	     -0.021
   4.000	      0.244	   2345.278	    2345.278	    -15.002	      0.000	     -0.034
   4.400	      0.109	   2345.154	    2345.154	    -17.500	      0.000	     -0.045
   4.800	     -0.040	   2345.015	    2345.015	    -19.472	      0.000	     -0.056
   5.200	     -0.214	   2344.859	    2344.859	    -22.217	      0.000	     -0.073
   5.600	     -0.414	   2344.679	    2344.679	    -24.900	      0.000	     -0.093
   6.000	     -0.659	   2344.472	    2344.472	    -29.659	      0.000	     -0.130
   6.400	     -0.942	   2344.231	    2344.231	    -34.314	      0.000	     -0.173
   6.800	     -1.254	   2343.958	    2343.958	    -37.843	      0.000	     -0.212
   7.200	     -1.587	   2343.660	    2343.660	    -40.783	      0.000	     -0.247
   7.600	     -1.939	   2343.339	    2343.339	    -43.186	      0.000	     -0.278
   8.000	     -2.310	   2343.002	    2343.002	    -45.707	      0.000	     -0.312
   8.400	     -2.710	   2342.645	    2342.645	    -48.936	      0.000	     -0.355
   8.800	     -3.163	   2342.258	    2342.258	    -53.163	      0.000	     -0.420
   9.200	     -3.642	   2341.840	    2341.840	    -56.807	      0.000	     -0.482
   9.600	     -4.162	   2341.394	    2341.394	    -61.194	      0.000	     -0.556
  10.000	     -4.688	   2340.919	    2340.919	    -64.028	      0.000	     -0.608
  10.400	     -5.217	   2340.427	    2340.427	    -65.820	      0.000	     -0.644
  10.800	     -5.731	   2339.928	    2339.928	    -66.450	      0.000	     -0.659
  11.200	     -6.264	   2339.418	    2339.418	    -67.714	      0.000	     -0.682
  11.600	     -6.823	   2338.897	    2338.897	    -69.563	      0.000	     -0.720
  12.000	     -7.375	   2338.366	    2338.366	    -70.385	      0.000	     -0.740
  12.400	     -7.916	   2337.830	    2337.830	    -70.705	      0.000	     -0.746
  12.800	     -8.396	   2337.304	    2337.304	    -68.384	      0.000	     -0.699
  13.200	     -8.859	   2336.794	    2336.794	    -66.087	      0.000	     -0.653
  13.600	     -9.299	   2336.302	    2336.302	    -63.545	      0.000	     -0.601
  14.000	     -9.713	   2335.832	    2335.832	    -60.426	      0.000	     -0.545
  14.400	    -10.090	   2335.390	    2335.390	    -56.484	      0.000	     -0.480
  14.800	    -10.447	   2334.973	    2334.973	    -52.846	      0.000	     -0.420
  15.200	    -10.773	   2334.586	    2334.586	    -49.048	      0.000	     -0.359
  15.600	    -11.048	   2334.236	    2334.236	    -43.621	      0.000	     -0.284
  16.000	    -11.293	   2333.926	    2333.926	    -38.256	      0.000	     -0.220
  16.400	    -11.501	   2333.657	    2333.657	    -32.378	      0.000	     -0.158
  16.800	    -11.679	   2333.432	    2333.432	    -27.075	      0.000	     -0.111
  17.200	    -11.824	   2333.247	    2333.247	    -21.764	      0.000	     -0.071
  17.600	    -11.938	   2333.103	    2333.103	    -16.393	      0.000	     -0.041
  18.000	    -12.016	   2333.001	    2333.001	    -10.539	      0.000	     -0.017
  18.400	    -12.061	   2332.942	    2332.942	     -4.565	      0.000	     -0.003
  18.800	    -12.067	   2332.933	    2332.933	      1.967	      0.000	      0.001
  19.200	    -12.020	   2332.970	    2332.970	      7.798	      0.000	      0.009
  19.600	    -11.942	   2333.041	    2333.041	     10.795	      0.000	      0.017
  20.000	    -11.835	   2333.136	    2333.136	     14.260	      0.000	      0.029
  20.400	    -11.695	   2333.258	    2333.258	     17.743	      0.000	      0.047
  20.800	    -11.527	   2333.406	    2333.406	     21.116	      0.000	      0.067
  21.200	    -11.345	   2333.575	    2333.575	     23.376	      0.000	      0.081
  21.600	    -11.145	   2333.760	    2333.760	     25.329	      0.000	      0.095
  22.000	    -10.947	   2333.954	    2333.954	     25.807	      0.000	      0.100
  22.400	    -10.753	   2334.149	    2334.149	     25.646	      0.000	      0.098
  22.800	    -10.558	   2334.343	    2334.343	     25.742	      0.000	      0.099
  23.200	    -10.366	   2334.537	    2334.537	     25.408	      0.000	      0.096
  23.600	    -10.170	   2334.731	    2334.731	     25.739	      0.000	      0.098
  24.000	     -9.977	   2334.925	    2334.925	     25.572	      0.000	      0.098
  24.400	     -9.788	   2335.118	    2335.118	     25.064	      0.000	      0.094
  24.800	     -9.609	   2335.304	    2335.304	     24.083	      0.000	      0.087
  25.200	     -9.434	   2335.484	    2335.484	     23.484	      0.000	      0.082
  25.600	     -9.266	   2335.658	    2335.658	     22.557	      0.000	      0.076
  26.000	     -9.109	   2335.824	    2335.824	     21.144	      0.000	      0.067
  26.400	     -8.953	   2335.983	    2335.983	     20.782	      0.000	      0.064
  26.800	     -8.797	   2336.139	    2336.139	     20.659	      0.000	      0.063
  27.200	     -8.646	   2336.294	    2336.294	     20.046	      0.000	      0.060
  27.600	     -8.510	   2336.439	    2336.439	     18.217	      0.000	      0.050
  28.000	     -8.383	   2336.574	    2336.574	     16.970	      0.000	      0.043
  28.400	     -8.268	   2336.696	    2336.696	     15.593	      0.000	      0.036
  28.800	     -8.162	   2336.808	    2336.808	     14.226	      0.000	      0.030
  29.200	     -8.058	   2336.913	    2336.913	     13.849	      0.000	      0.029
  29.600	     -7.945	   2337.023	    2337.023	     14.783	      0.000	      0.033
  30.000	     -7.819	   2337.140	    2337.140	     16.500	      0.000	      0.040
  30.400	     -7.690	   2337.267	    2337.267	     16.998	      0.000	      0.043
  30.800	     -7.557	   2337.398	    2337.398	     17.357	      0.000	      0.045
  31.200	     -7.421	   2337.531	    2337.531	     17.988	      0.000	      0.048
  31.600	     -7.264	   2337.675	    2337.675	     20.234	      0.000	      0.061
  32.000	     -7.087	   2337.837	    2337.837	     22.625	      0.000	      0.076
